t     ,status
    0.000000000000000E+00,init
  250.000000000000000E-03,init
  500.000000000000000E-03,init
  750.000000000000111E-03,init
    1.000000000000000E+00,init
    1.250000000000000E+00,init
    1.500000000000000E+00,init
    1.750000000000000E+00,init
    2.000000000000000E+00,init
    2.250000000000000E+00,init
    2.500000000000000E+00,init
    2.750000000000000E+00,init
    3.000000000000000E+00,init
    3.250000000000000E+00,init
    3.500000000000000E+00,init
    3.750000000000000E+00,init
    4.000000000000000E+00,init
    4.250000000000000E+00,init
    4.500000000000000E+00,init
    4.750000000000000E+00,init
    5.000000000000000E+00,init
    5.250000000000000E+00,init
    5.500000000000001E+00,init
    5.750000000000001E+00,init
    6.000000000000001E+00,init
    6.250000000000001E+00,init
    6.500000000000001E+00,init
    6.750000000000001E+00,init
    7.000000000000001E+00,init
    7.250000000000001E+00,init
    7.500000000000001E+00,init
    7.750000000000001E+00,init
    8.000000000000000E+00,init
    8.250000000000000E+00,init
    8.500000000000000E+00,init
    8.750000000000000E+00,init
    9.000000000000000E+00,init
    9.250000000000000E+00,init
    9.500000000000000E+00,init
    9.750000000000000E+00,init
   10.000000000000000E+00,exec
   10.250000000000000E+00,exec
   10.500000000000000E+00,exec
   10.750000000000000E+00,exec
   11.000000000000002E+00,exec
   11.250000000000002E+00,exec
   11.500000000000002E+00,exec
   11.750000000000002E+00,exec
   12.000000000000002E+00,exec
   12.250000000000002E+00,exec
   12.500000000000002E+00,exec
   12.750000000000002E+00,exec
   13.000000000000002E+00,exec
   13.250000000000002E+00,exec
   13.500000000000002E+00,exec
   13.750000000000002E+00,exec
   14.000000000000002E+00,exec
   14.250000000000002E+00,exec
   14.500000000000002E+00,exec
   14.750000000000002E+00,exec
   15.000000000000002E+00,exec
   15.250000000000002E+00,exec
   15.500000000000002E+00,exec
   15.750000000000002E+00,exec
   16.000000000000000E+00,exec
   16.250000000000000E+00,exec
   16.500000000000000E+00,exec
   16.750000000000000E+00,exec
   17.000000000000000E+00,exec
   17.250000000000000E+00,exec
   17.500000000000000E+00,exec
   17.750000000000000E+00,exec
   18.000000000000000E+00,exec
