f,dd,dq,qd,qq
1.0,0.25958998158399793+1.1939044596839212j,1.2045158349052663+1.6516815849068656j,-3.019351028265535+0.6560793358321982j,0.2673997370824699+1.1986758528342887j
1.25,0.6002487718279157+1.3071160726521127j,1.6675068278423644+1.6360188218292733j,-2.806095488678908+0.7948963256810966j,0.614063198386702+1.3030691463203612j
1.5,0.8924952656040082+1.3079835862541698j,2.021749413084252+1.510783244499685j,-2.6003895772492926+0.8381440970253138j,0.9055209892767994+1.2946737240141273j
1.75,1.1186080603966138+1.2439614211507093j,2.273781741878388+1.3447077750186551j,-2.4306630645658847+0.8201477311823092j,1.127076452762334+1.2315882130949194j
2.0,1.278708317466433+1.1714862396309536j,2.4483704022790223+1.1741105230521045j,-2.3042522002507946+0.7806155117044455j,1.2890640136487335+1.14829978708912j
2.25,1.3982751611819717+1.0862983761541363j,2.5662487318853433+1.0128152875923662j,-2.2084547303428916+0.7247372129412651j,1.4059224137065018+1.0619566332632238j
2.5,1.479910085105223+1.0094617783250424j,2.6462714854020795+0.8666755716272072j,-2.143125915687674+0.6685797780903343j,1.4903364623148778+0.9812805762678147j
2.75,1.545076685508174+0.9441247758115648j,2.698783104912725+0.737921824086428j,-2.0929554170170768+0.6146901397619348j,1.5506415134858726+0.9085240305014757j
3.0,1.5915330877186387+0.8834864452859132j,2.731927099998301+0.6249191312216267j,-2.0571352688539055+0.5659644955050085j,1.5933851292760206+0.8450947387290038j
3.25,1.628132257902089+0.8320602129661618j,2.7527132831000003+0.5264782771505367j,-2.033302188541508+0.5204290830025057j,1.6242829332801834+0.790706734854018j
3.5,1.6515916791301661+0.7902291019785685j,2.7659119859369365+0.4402274546231011j,-2.019562394232506+0.48230763573460034j,1.6466106342216245+0.7448107409638809j
3.75,1.6702637467899868+0.7541985494012431j,2.7737690085423887+0.36613080600194925j,-2.011812432949016+0.4451686392466705j,1.6627939740850803+0.7065528957971248j
4.0,1.6838082640809438+0.7252422253349681j,2.777224407355504+0.3001363545696414j,-2.007589614173024+0.41491513644966366j,1.6746260861074094+0.674847011932703j
4.25,1.697778927584128+0.700677822095616j,2.7793454223194995+0.2425567946574958j,-2.006997166109683+0.38656683789870344j,1.6830483864056245+0.6484951549743272j
4.5,1.7062896559685712+0.6806306799668413j,2.7796849990899095+0.19111102293769777j,-2.0120103215788467+0.362713195789747j,1.689879804516972+0.6270062029039005j
4.75,1.7168223103162714+0.6660363111808181j,2.780623766194786+0.14463215060450718j,-2.018449475546001+0.34237568114651734j,1.6951661418682655+0.6097144884844201j
5.0,1.724879759757153+0.6562298938899238j,2.7815332025604835+0.10299480237251135j,-2.0249561938143383+0.3244287824706335j,1.69946322637155+0.5961180283093728j
5.25,1.7317268224740887+0.6449400145389134j,2.783180115325077+0.06512517477787627j,-2.035835887322437+0.30895106999650257j,1.70304143560277+0.5857617966989717j
5.5,1.7401843178317675+0.6390404241764828j,2.7855786612640614+0.03000680298023406j,-2.046502453329561+0.29526558705954986j,1.7065498937822061+0.5780127035635301j
