f,dd,dq,qd,qq
1.0,0.2820297406111144+1.2163015132555681j,1.2225595021861677+1.6680746538437743j,-3.041562466730835+0.7178509480131561j,0.2823494181561259+1.2234796678647681j
1.25,0.6488418208704781+1.3230448689589394j,1.705589783140183+1.6464747597807703j,-2.805802162932433+0.8759694065586561j,0.6527211444817232+1.3253760519212947j
1.5,0.962890087579635+1.3045556116914734j,2.0760681890103965+1.505850479988926j,-2.5762074136186635+0.9245172392978654j,0.9649856213702579+1.3028421817747868j
1.75,1.2028090051044915+1.2154451427959219j,2.338038896259861+1.3198608490438342j,-2.3879150101882143+0.9034976865605462j,1.200617916288212+1.2192993969938783j
2.0,1.3696776420247465+1.11572181320564j,2.516596226929403+1.128095860604951j,-2.248244653346148+0.8572529588134036j,1.3700404311915455+1.1133711014193635j
2.25,1.489436087133238+1.0041248176169768j,2.63389018256804+0.946481906274609j,-2.145079464160947+0.7934938208831889j,1.4887125178203626+1.0046361566705846j
2.5,1.5671631169797433+0.9021443535110762j,2.7099432737862035+0.7816156630020292j,-2.075704299405322+0.7301408659726492j,1.570742468117931+0.9029687429976654j
2.75,1.6248562973993859+0.8140181857356612j,2.7562686530080027+0.6359581617449241j,-2.024749079197261+0.6702039673659865j,1.6257884121157766+0.8111816479504916j
3.0,1.6616605643793647+0.7330707810489925j,2.78185798483254+0.5079006868490703j,-1.9900820682988483+0.6169236094264129j,1.6613292331099778+0.7310282266562551j
3.25,1.6866359996387357+0.6635034160718474j,2.794205257364039+0.39602880533020546j,-1.9689705629812393+0.5686690897233605j,1.6836699355496965+0.6618298969961145j
3.5,1.698208187977667+0.6056139378107114j,2.7983246737703875+0.297544374619894j,-1.9578106141685756+0.5294829436846361j,1.6967387907938551+0.6029100673704031j
3.75,1.7042160744436448+0.55561475363426j,2.796810531232199+0.21231884523207523j,-1.9536110561389617+0.4930431402657211j,1.7032248002652213+0.553136185849602j
4.0,1.7045750634385237+0.5142574982956932j,2.7906107972507854+0.13635561358848935j,-1.9525440957276325+0.4643263316194865j,1.7051815169121314+0.511461268874057j
4.25,1.7051437592210825+0.47852296633233277j,2.782923064440202+0.06950649506168638j,-1.9554773198827107+0.43879847996374344j,1.703612643126031+0.4764153803660154j
4.5,1.7003565130202174+0.44909369468555516j,2.773369192646138+0.009495195651452626j,-1.9631657483494818+0.4190825941828552j,1.7004992940725348+0.44732536127859324j
4.75,1.6973889433140263+0.4256926107744079j,2.764181241506133-0.04489173456144613j,-1.9718961209076815+0.4033645994983622j,1.6959291598511612+0.42340522381471746j
5.0,1.6922265594648185+0.40831763147522243j,2.7548989814609124-0.0939736719609141j,-1.9805050841169307+0.39034499248297994j,1.6906663916452649+0.40399199355659055j
5.25,1.6858277372562387+0.3907789187444885j,2.74617926058637-0.13882388734544815j,-1.9925389963703148+0.38130277246813116j,1.6849927956545885+0.38871428619569737j
5.5,1.6811655843121667+0.37928183627968526j,2.7380871239287408-0.18053185306438846j,-2.004213104758511+0.3738390574028006j,1.6794216938725786+0.37659400347003413j
5.75,1.6760257157088838+0.37001866365000413j,2.730722701591432-0.21922536834043838j,-2.017099328453436+0.36950449666558666j,1.6738490803931185+0.3674795273447595j
6.0,1.6699183175845913+0.3632243534901445j,2.72425674362454-0.25606120364833473j,-2.030908464738218+0.36808100720775044j,1.6687517457380598+0.36094385211551794j
6.25,1.6656257270518178+0.3583457974234556j,2.718652351259991-0.2903894189392451j,-2.0447458893832287+0.3676978590437297j,1.6640322013795326+0.3568002863765425j
6.5,1.66220901728353+0.35703006553666733j,2.713659409357436-0.3238211320299138j,-2.059129253005397+0.3695507924306518j,1.6599115323674813+0.3545521550747004j
6.75,1.6587630890233829+0.35585102935504037j,2.709735173385298-0.35568029405701185j,-2.0738189902474735+0.37253455295601523j,1.65642565561663+0.35429743339666175j
7.0,1.6557390034896908+0.3569827543353968j,2.706750954024457-0.38663643780441714j,-2.088352944737411+0.3793357501626596j,1.653455347342564+0.3554380651793525j
7.25,1.6532464716038435+0.36093946994839277j,2.704574976001831-0.41674687055596626j,-2.1025162997216538+0.3859211183937245j,1.6512592510957917+0.3581753904837046j
