f,dd,dq,qd,qq
1.0,-0.0030382779315953415+0.003934452623557966j,-0.04282252508426568-0.0023940972241087155j,0.042822525084340986+0.002394097224245079j,-0.0030382779316560325+0.003934452623551755j
1.25,-0.003713737201229123+0.005740655013741776j,-0.043357065559543814-0.002346824636270499j,0.04335706555972221+0.002346824636257686j,-0.003713737201367611+0.005740655013733043j
1.5,-0.004204436032558685+0.007682616952253969j,-0.043767343753561096-0.0022193480550861885j,0.04376734375342009+0.0022193480551676386j,-0.004204436032559683+0.007682616952329275j
1.75,-0.004577983038845197+0.009624532891860252j,-0.04407889458732574-0.0020803998866926396j,0.044078894587468366+0.0020803998868652775j,-0.004577983038670822+0.00962453289169143j
2.0,-0.004864956901731975+0.011604601228483703j,-0.0443239309935189-0.0019300441548757985j,0.04432393099341951+0.0019300441548243158j,-0.0048649569017098215+0.011604601228366405j
2.25,-0.005036086656342018+0.013568833608756572j,-0.04451224180311574-0.0017874835363188221j,0.04451224180308355+0.0017874835364501392j,-0.005036086656686549+0.013568833608762113j
2.5,-0.005184651899329101+0.015475217204753403j,-0.04466767510060786-0.0016701242071173183j,0.04466767510055922+0.0016701242070112652j,-0.005184651899329115+0.015475217204689952j
2.75,-0.0052426444624938335+0.01740897609075988j,-0.04478944573917776-0.0015531172077882932j,0.04478944573918059+0.0015531172078363656j,-0.005242644462580399+0.017408976090788137j
3.0,-0.005300770875100393+0.01930454033744295j,-0.0449024479122337-0.0014544927349719114j,0.04490244791221009+0.0014544927349973158j,-0.005300770875076558+0.019304540337473124j
3.25,-0.005361870431957367+0.021167990976379555j,-0.04500385760241956-0.0013711159511416923j,0.04500385760247517+0.0013711159510771836j,-0.005361870432030635+0.02116799097637978j
3.5,-0.005381527706554555+0.02307105550190039j,-0.04509063666467385-0.0012844298508773722j,0.045090636664694976+0.0012844298508145134j,-0.005381527706552317+0.023071055501889936j
3.75,-0.005377782616619764+0.02493869331946833j,-0.04517288215945357-0.0012079453358414954j,0.04517288215944218+0.001207945335857933j,-0.005377782616631129+0.024938693319427552j
4.0,-0.005362345074580273+0.026766582891794073j,-0.04524567646939761-0.001148907353893898j,0.04524567646936274+0.0011489073539860594j,-0.005362345074473841+0.0267665828917718j
4.25,-0.005304462174095565+0.0286117449580371j,-0.04531241260134686-0.001090980170854558j,0.04531241260139279+0.001090980170879086j,-0.005304462174080732+0.02861174495800832j
4.5,-0.005296324936654714+0.03047682743624957j,-0.04538999276882132-0.0010318299434035616j,0.045389992768823426+0.0010318299434035991j,-0.005296324936657642+0.03047682743630861j
4.75,-0.005246641192084096+0.03228257396769002j,-0.04546039238142978-0.0009873065625550723j,0.045460392381459255+0.0009873065625609803j,-0.005246641192092859+0.03228257396768317j
5.0,-0.0051782416150948155+0.03410651992800576j,-0.04552387686284014-0.0009394474323333318j,0.04552387686284639+0.000939447432358785j,-0.005178241615022144+0.0341065199280101j
5.25,-0.005093304980012974+0.035953878368178496j,-0.04558753309144618-0.0008930394946765063j,0.04558753309152686+0.0008930394946940201j,-0.005093304980159155+0.03595387836817313j
5.5,-0.005028355349952567+0.037783406575263905j,-0.04566146918592892-0.0008516427824367123j,0.045661469186163005+0.0008516427822341445j,-0.005028355350089733+0.03778340657495785j
5.75,-0.004957666052255181+0.03960485811138973j,-0.04573103189522969-0.0008101806127856492j,0.04573103189508267+0.0008101806125855065j,-0.004957666052080548+0.03960485811111131j
6.0,-0.00490136433630279+0.04138883781978035j,-0.04580523514086098-0.0007855763373856434j,0.045805235140828925+0.0007855763373635383j,-0.0049013643363197065+0.04138883781985379j
6.25,-0.00479463004605767+0.043229587102621946j,-0.04587576512010548-0.0007435715453773736j,0.045875765120079064+0.0007435715452967498j,-0.004794630045990893+0.043229587102789145j
6.5,-0.004718682995742888+0.04502274419596935j,-0.04595236762636341-0.0007194086758360516j,0.045952367626267886+0.0007194086758248581j,-0.0047186829957404156+0.045022744195927986j
6.75,-0.004604402559070357+0.04684234955106469j,-0.046025966929232776-0.000682966863332253j,0.04602596692928327+0.0006829668632780025j,-0.004604402559086278+0.04684234955102889j
7.0,-0.004480217347436972+0.048606009603214304j,-0.04609729819771303-0.0006628157208156474j,0.04609729819770312+0.0006628157207793531j,-0.00448021734738973+0.04860600960328095j
7.25,-0.004360300241657765+0.05041820422258981j,-0.046173274362812586-0.0006359927735759066j,0.046173274362777524+0.0006359927735162907j,-0.004360300241671174+0.050418204222550535j
7.5,-0.004261709645276519+0.05225173939240304j,-0.04626154434116591-0.00060274464610275j,0.04626154434111528+0.0006027446461076231j,-0.004261709645251945+0.0522517393924008j
7.75,-0.0041202598406211745+0.05402695964692839j,-0.0463357426914243-0.0005811166420094938j,0.046335742691371064+0.0005811166420973728j,-0.004120259840597051+0.054026959646930696j
8.25,-0.0038632249119484115+0.057627823975339734j,-0.046507323155375035-0.00053033622601599j,0.04650732315526277+0.0005303362259921233j,-0.0038632249119659734+0.05762782397532029j
8.5,-0.0037289347957192172+0.05940801206388668j,-0.046598143287647706-0.0005076482337689897j,0.046598143287700615+0.0005076482337614263j,-0.003728934795774727+0.05940801206387254j
8.75,-0.0036342549012100297+0.06121963192742789j,-0.04670143480870158-0.00048284666579522656j,0.04670143480878199+0.0004828466657517996j,-0.0036342549012622696+0.06121963192745313j
9.25,-0.0032962562196818066+0.0648247361966022j,-0.046878145352548896-0.00043140074593338296j,0.046878145352391695+0.0004314007456472126j,-0.0032962562195826897+0.06482473619641221j
9.5,-0.003174323836239507+0.06662866885896357j,-0.04698662157366908-0.00040926913154606254j,0.04698662157372293+0.00040926913156690947j,-0.003174323836115711+0.06662866885893365j
10.0,-0.0028370527594510455+0.07016279613101023j,-0.04718187542561446-0.0003716601006020781j,0.0471818754254509+0.00037166010062690893j,-0.0028370527594341888+0.07016279613107056j
10.25,-0.0026821321791658296+0.0720110821008477j,-0.04729393912074623-0.00033537519141180194j,0.04729393912076858+0.0003353751914489691j,-0.0026821321791248715+0.07201108210090104j
10.75,-0.0023159520533351245+0.07554851148550014j,-0.04750642499034648-0.00030222034145896415j,0.04750642499033952+0.00030222034150494516j,-0.0023159520533390793+0.07554851148548641j
11.0,-0.0021274276023011+0.07733739531140857j,-0.04761475115445813-0.0002759497693215207j,0.04761475115440172+0.00027594976933306963j,-0.002127427602236512+0.0773373953114398j
11.5,-0.0017819795069666331+0.08099052079301011j,-0.047860285303668024-0.00021560320004024996j,0.04786028530372271+0.00021560320011871156j,-0.001781979506894349+0.08099052079292315j
12.0,-0.0013587477606777842+0.08459154344412545j,-0.04809742992601287-0.0001586866790403499j,0.04809742992600324+0.00015868667897141745j,-0.0013587477605929987+0.08459154344414511j
