f,dd,dq,qd,qq
1.0,-0.006564204846157951+0.03328747519418648j,-0.14035026583528204-0.095505820594951j,0.13978257341672112+0.09659932627386617j,-0.032506209803634084+0.03383085420748646j
1.25,0.001432702657439898+0.0414169626364224j,-0.16344966370661623-0.08881934431032593j,0.16326489979293396+0.09018299276428553j,-0.022948873889564493+0.04829888216833542j
1.5,0.009617592643876377+0.04592402107830439j,-0.1791315953108351-0.07942690952713846j,0.1793018585353115+0.08092361762451021j,-0.0115198458183677+0.056803464483174235j
1.75,0.01661578277877185+0.04809637438166392j,-0.18957337718179185-0.07000528117705007j,0.1900325657846427+0.07156305435550026j,-0.0011196194819865987+0.06109630082797996j
2.0,0.022346126368725072+0.049022148147592745j,-0.19664784031402988-0.061433271964408814j,0.1974180027361668+0.06287886026190624j,0.007697179207204259+0.06300586314522198j
2.25,0.026915474226377883+0.0493090994141718j,-0.20146058944441922-0.05405832942539893j,0.2024357874602896+0.05543657213554995j,0.01485972138618305+0.0635042859128122j
2.5,0.030494089523809137+0.04938693639559246j,-0.20489368136318678-0.047736408112963535j,0.20609991999578614+0.0490498751989353j,0.020478480378550754+0.06339508925768461j
2.75,0.03338093017346888+0.04936915021929097j,-0.20738420728721838-0.04220302767998704j,0.20865624027469662+0.04339424933796407j,0.02516427410105665+0.06298962779961705j
3.0,0.035731789764722514+0.04943828326940752j,-0.2092446608680093-0.037408511309933556j,0.21067051342945403+0.038495202919814425j,0.02887766345355309+0.06255329573060903j
3.25,0.03756039709458926+0.04958435180001779j,-0.21073168213595445-0.03315211739442364j,0.2121447782403448+0.03412034046753073j,0.031897274875413634+0.06219848809259187j
3.5,0.0391772805540528+0.04991080048484206j,-0.211818030132027-0.02936072770481271j,0.2134121472355498+0.03024774676008716j,0.03442877836483603+0.06191550969124091j
3.75,0.04046476380516188+0.05029985292472521j,-0.2127170677888945-0.026009795843052103j,0.2143592243297848+0.02684509533332535j,0.036578189697750264+0.06175683157071816j
4.0,0.041599032140404474+0.050763592209726614j,-0.2134623099740111-0.022942269705518353j,0.2151312294808694+0.02368695885463479j,0.03829191356072821+0.06171599337392799j
4.25,0.04254274012748702+0.05135947917366578j,-0.214033665563262-0.020131507385639347j,0.21571318318508967+0.020833315691922233j,0.03987609277277805+0.06176982012561968j
4.5,0.04340794697243668+0.05208209937889248j,-0.21455535453622063-0.017557399832960313j,0.21629784684850592+0.018216060991208267j,0.04118054846694692+0.06206229107617389j
4.75,0.04412754746435968+0.05283048522134732j,-0.21495990870750883-0.01519939989995514j,0.21673070210626302+0.015734792595300407j,0.04231412794942725+0.06235377684998747j
5.0,0.044786409223699454+0.05361063945197413j,-0.21530004468519176-0.01293730019538808j,0.21708310910923245+0.013396924942681831j,0.04331656846789432+0.0627822606163268j
5.25,0.04539867698231187+0.054580039852965764j,-0.21558234122409323-0.01081770856125397j,0.21735369833000207+0.01126665697874495j,0.04424433180249529+0.06326925165915309j
5.5,0.0459576234183063+0.05554285469893657j,-0.21588045491802438-0.008855377593523145j,0.2176535322114251+0.00920877692177448j,0.0450738173015548+0.06391803520548255j
5.75,0.04641629245559034+0.05659037420011234j,-0.21611404646173987-0.006973555265977205j,0.21789781440344194+0.0073158168973976164j,0.04579837276867059+0.06461823780677198j
6.0,0.04687709806490685+0.057684712335112014j,-0.2163660836825101-0.005218885939138745j,0.21817481414747528+0.005495237579199739j,0.04641508200875784+0.065379185356568j
6.25,0.047321979690209674+0.05879165334694787j,-0.21652663404066683-0.0035207632419237966j,0.21832968121977983+0.0036968764840406777j,0.04706575236394461+0.06621115243712222j
6.5,0.047714774471311096+0.05998720529036886j,-0.21669973396084674-0.0019207727009244446j,0.21854244069351283+0.002089750662670201j,0.04760075655705191+0.06712495742223852j
6.75,0.04810839970290513+0.06118237237094932j,-0.2168588425997269-0.00037701471248272056j,0.21864077628831713+0.00047771236304409965j,0.04813946457407079+0.06805448043968582j
7.0,0.048443793750871635+0.06238645399218582j,-0.21692285419396926+0.0011581807612856543j,0.21872593048818345-0.0011009234789650187j,0.04861280895464587+0.06896169741117816j
7.25,0.0488297454947319+0.06365626176347693j,-0.21709054355967974+0.0026388904057945417j,0.21892030527999476-0.0025913102823995012j,0.049105285870240545+0.07003010379253871j
7.5,0.04918659065961401+0.06498950819468935j,-0.21720917045213808+0.0040457603381646445j,0.2190376477422126-0.004058225112057688j,0.04956653283496591+0.07112925683544208j
7.75,0.04949612915285406+0.06629195530336295j,-0.21731012614191988+0.005385928675240542j,0.21911013700271392-0.0054361198467808j,0.049972129566155474+0.07221973968078038j
8.25,0.05011436096624925+0.06900559065436732j,-0.21747103836863005+0.007996359179835488j,0.21927430706090753-0.008122121561248571j,0.05077737632238677+0.07455244658380197j
8.5,0.05043837373016193+0.07038579128238186j,-0.2175660202486564+0.009265702917239216j,0.21936787100113747-0.009403269747037925j,0.05114524763932787+0.07572761408724614j
8.75,0.05073473666241365+0.07178870810760883j,-0.2176534995755402+0.010572368205176763j,0.21944165395485268-0.010730203585431405j,0.05151092886059343+0.07700800659419511j
9.25,0.051344999445164595+0.07465580819626325j,-0.2177575536556585+0.01294714130712682j,0.21955482983577027-0.01319091250150295j,0.05225627370150833+0.07953124283594645j
9.5,0.05165241737437221+0.07612225795028364j,-0.2178231385195784+0.014130748900709644j,0.2195939405660692-0.014395079401435841j,0.052594419453667746+0.0808738431094917j
10.0,0.05224408979021895+0.07902242561982635j,-0.2179676235215588+0.01640915851032307j,0.21971253459182602-0.016742249572755087j,0.05323949370742599+0.08347765957684637j
10.25,0.052557984406286964+0.08055080853105216j,-0.2179966771184965+0.017511451750067547j,0.21974963368160763-0.01788213990921319j,0.05360966416848356+0.08487473288523173j
10.75,0.05321035512141984+0.08351900635400418j,-0.2181407297327088+0.01973926689661956j,0.21986368221757613-0.02016863279076551j,0.054262649494035406+0.08760772314507001j
11.0,0.053459472427514844+0.08505203934856698j,-0.21817171770800234+0.020747835717793428j,0.21989912985728688-0.02120105975921219j,0.054610887389883206+0.08900188734504308j
11.5,0.05413991841917161+0.08814340050466919j,-0.21827076499509712+0.022972743866402273j,0.21998394893147347-0.023463926531089772j,0.05533452108139729+0.09190480737694037j
12.0,0.05479703504932948+0.091252407341598j,-0.21832694957530852+0.024994882472079066j,0.22001861272091147-0.025538286526813662j,0.05602854732828044+0.09477260985573409j
12.5,0.055423455648744104+0.09438164448168905j,-0.21840103058823918+0.027030313718525878j,0.22005653542294581-0.027605541349599833j,0.05668102554345056+0.09775887494807528j
13.0,0.056024430740786384+0.09744527477325576j,-0.21849907067443564+0.02907372476244577j,0.2201466845902566-0.02968630071566267j,0.057357394568665385+0.10066017916629144j
13.5,0.05671837242321566+0.10067716074236523j,-0.218595831728248+0.031015427954590363j,0.22022150479121022-0.03167433826200118j,0.05805713839662455+0.10372329147825408j
14.0,0.05755709923914279+0.10378438142722327j,-0.21864039790684225+0.033036370436671514j,0.22022389160413597-0.033727191131338666j,0.05889176182054602+0.10667798312344023j
14.5,0.05820633184148589+0.10696801613080813j,-0.2187169919841737+0.03491612633529467j,0.22028948833775028-0.03564788561309201j,0.059561583232891194+0.10969882106261349j
15.0,0.05901389051641316+0.11016546108295468j,-0.21875876069099398+0.03681650950446905j,0.22028302746640915-0.03757126734814937j,0.06035374676719327+0.1127865000393477j
15.75,0.06013287649599143+0.11504469683560455j,-0.21889887805989525+0.039720427729704105j,0.22039070800109248-0.040542303981551564j,0.06150017238605929+0.11745578296719858j
16.25,0.060863607569692+0.1182597873446683j,-0.21900187557180847+0.041523739436972296j,0.22047115558410496-0.042393692570929925j,0.062218388265436075+0.12051517599430533j
17.0,0.06229888703237496+0.12285041857454186j,-0.21895411006061694+0.04427494060432666j,0.22038488362373326-0.04518894964725692j,0.06365621147614184+0.12494865057879262j
17.5,0.06304669677229302+0.12636415734778578j,-0.21909870600588696+0.04624725880391528j,0.2204886985856348-0.04717143411756802j,0.06441210588797652+0.12839865837897613j
18.25,0.06445193390565851+0.131445206105926j,-0.21917784979365085+0.049144454527713516j,0.22052871710042074-0.050097365475908776j,0.06580560770920635+0.13333082000297353j
19.0,0.06580375685201262+0.13635378317080327j,-0.2192986752302686+0.051907526981704616j,0.22060731696791186-0.05290153412046456j,0.06713228069984453+0.13812924492653358j
19.75,0.06727714111156644+0.14140073381149784j,-0.21934791609909965+0.05477700765105342j,0.2206168564274431-0.055795323856964264j,0.06862438807379131+0.1430553988286041j
20.5,0.06874419604680583+0.14637948981591192j,-0.2194919948565299+0.0575675105169598j,0.2207037068666935-0.058626262690824806j,0.07003748828353548+0.14791361636559847j
21.25,0.07033755952084789+0.15137760864473068j,-0.21951054378658652+0.060363463276783214j,0.22070152562956874-0.0614459203307467j,0.07165393921006485+0.15280082423930985j
22.0,0.07200008076631238+0.1563191516225889j,-0.21957516659220133+0.0631657858585302j,0.22071180195137893-0.0642630714528569j,0.0732735985949689+0.15766190504961147j
23.0,0.07419690658783579+0.16303143403912757j,-0.2196758548611+0.06693790365011276j,0.22075939835496952-0.06806759270622437j,0.07547295422350772+0.16424344928429818j
23.75,0.07601240536186235+0.167920708850623j,-0.21974167160979277+0.0697040092577253j,0.22078538715417229-0.07086960903796606j,0.07723747681605916+0.16903661973837586j
24.75,0.07853894481625848+0.17478776220152478j,-0.2197436168927333+0.07355848626123554j,0.22072910924664318-0.07474253625920926j,0.07974869338766391+0.1758140469223468j
25.75,0.08046694006587421+0.18221970783174832j,-0.22005572693048994+0.07784461007379936j,0.2209775673372798-0.07904127019701203j,0.08162369523072383+0.18319249044171637j
26.75,0.08377095932642681+0.188058749986272j,-0.21987337055408146+0.08121288568193977j,0.22072757094730872-0.08243339599434345j,0.08488190419111238+0.1889289334552205j
27.75,0.08645784017229713+0.19472731627095285j,-0.219916274803435+0.08508560902906515j,0.22073850668629247-0.08631065585064236j,0.08759510302241022+0.19551408232674267j
28.75,0.0892791265345748+0.2014278573481869j,-0.21996819821411512+0.0890123206185611j,0.22074316244441744-0.09024593991189149j,0.09038677465663325+0.2021349574779231j
30.0,0.09307268005098923+0.2097255489263512j,-0.2199664104347857+0.09394541639347923j,0.2206726992635795-0.09519348683339938j,0.09413222639690397+0.21035485525435488j
31.0,0.09622526183845974+0.2163825234985783j,-0.21994774337377568+0.09795567636991831j,0.22060535813430138-0.09920280512014935j,0.09725865671951012+0.21696169569563695j
32.25,0.10034985061757579+0.22472078488895247j,-0.21989856391886872+0.10304012445104263j,0.22049728127670484-0.10429745016799154j,0.10134235389027244+0.22522948385083352j
33.5,0.10463033279883162+0.2330018049352531j,-0.21979744390420525+0.10818581171651703j,0.22034030736246465-0.10944751364718841j,0.105599152608857+0.2334380143029175j
35.0,0.11004347077924534+0.24291689503564265j,-0.21961625243392455+0.11448481242240105j,0.22009530782863534-0.11574749276935542j,0.1109780356589907+0.2432896690204344j
36.25,0.11477174837548129+0.2511571433413135j,-0.21943922371099722+0.11982197936222151j,0.21985377555703647-0.12108664782495143j,0.11565032956551874+0.25148563707212757j
37.75,0.12071637481688936+0.26098163260211754j,-0.21911843140676754+0.12636505399707001j,0.21947363732024083-0.12761379437061415j,0.12157190893233052+0.2612646420680186j
39.25,0.12695828600448017+0.2707672702934418j,-0.2187578534330512+0.13305908145459303j,0.2190314486154902-0.1342970071985296j,0.12775759781481175+0.27102636700664257j
40.75,0.13347617775744586+0.28050714009735866j,-0.2182528278000819+0.139862127147307j,0.21850357492604047-0.14110271437878916j,0.13426082084213598+0.2806781983719102j
