f,dd,dq,qd,qq
1.0,0.41573672803659467+0.09801987859965315j,2.404600918894426+0.016296471611147112j,-2.9337092085756926+0.12235644041182069j,0.4080473841987688+0.08623651867511248j
1.1,0.3787538815124508-0.05550090031852121j,2.6696474885621084-0.1411842255624869j,-2.578887375961981+0.184641040517586j,0.42103431659925217-0.06199542101364297j
1.2,0.08740267231361712+0.07437745161859963j,2.5347963549844272-0.030197115465081303j,-2.7846563633172248+0.17475678264169234j,0.19775294074797925+0.03383129501655202j
1.3,0.2619816767825629+0.045550722871771025j,2.698175923705456-0.23715499715216987j,-2.8179290022729155+0.18847528855367837j,-0.09227611757182996-0.01081259209714796j
1.4,0.7870130311357654-0.8457834343730989j,2.7494150425521022+0.02543712469409165j,-1.911283402428223+0.6657276887913303j,0.427403053050802+0.08026320182444219j
1.5,0.15519350187949288+0.19078522457199304j,2.671528296690804-0.1764629088876486j,-2.890757102096675-0.1636128456341611j,0.0962090193474866+0.146172041886941j
1.6,0.14789331804189612-0.026177237188467404j,2.6518407431010003-0.0751071651513892j,-2.473946333394054+0.059153663131849755j,0.2698763534066007+0.16636733874767157j
1.7,0.24275850291048026+0.08751300616063343j,2.5449444496235265-0.015574717833057972j,-3.065506347708083+0.10310356507772335j,0.012253368445721127+0.1320823811748342j
1.8,0.3351170655137072+0.05925121606748981j,2.6726162608823953-0.17158096691514801j,-2.7856279119352405-0.0782937337186661j,0.5197671460233171+0.38326887999286485j
1.9,0.2602533190082777+0.12784157353256195j,2.678387525935597+0.0719054113886406j,-2.8272983074284297+0.04287648119686321j,0.262493491630464-0.004846019336342128j
2.0,0.2584819062055326+0.2332354175020123j,2.6667705658561327-0.06806637467412968j,-3.0331384379808215+0.11879561003749116j,0.36399000200971465+0.06626302057785215j
2.1,0.13516790421872113+0.1212461562052664j,2.6236284047997405+0.21168777324870225j,-2.945512967110447-0.05784682019685799j,0.3524946396772007+0.21995181024347324j
2.2,0.19755288993055417+0.18408577938674578j,2.5338992476174926-0.06987093425542112j,-2.7745031464817806+0.12117909883749714j,0.3734822408948962+0.1848660944916143j
2.3,0.11322995437982582+0.21486266206661903j,2.471405787084094-0.04462978981200916j,-2.6170304442818635-0.0888678418818265j,0.24177766725716165-0.019077072088218905j
2.4,0.29424664298501035+0.06960720662086345j,2.7214845381173154+0.19167117852198956j,-2.652207393218866+0.09986316179489099j,-0.030131893655571354-0.06696644160344252j
2.5,0.23578600703118696+0.10431981044806388j,2.692834482958987+0.09314431181849869j,-2.9094684148552585-0.28971129103421867j,0.08779357666834636+0.12929831512575107j
2.6,0.03811991655582858+0.2218245213412656j,2.603773201523495-0.32623419015346566j,-2.900572301979666-0.32255787231279415j,0.1259852384375748+0.0047849359094878224j
2.7,0.23720863649341514+0.08029638757517651j,2.875597917862674+0.1589565079107298j,-2.9870715469081612-0.008848969490764396j,0.6030488046290322-0.11877614702759781j
2.8,0.23399808339083458+0.1880566008221412j,2.507159228577388-0.04280571362439911j,-2.685639763557901+0.16591821248105407j,0.4365644769885302+0.22343096465101814j
2.9,0.2766743234357944+0.232383736377135j,2.7268144848216336+0.03311926336055654j,-2.8138222302560565-0.23993612640441042j,0.49849454699863394+0.17940272694754333j
3.0,0.1700610482810684+0.17249193514341582j,2.606028657045884+0.12406921615016905j,-2.4428214706717166+0.06350112886491242j,0.1167967902112422+0.12877284155539614j
3.1,0.06358445144526825+0.032598010859113784j,2.800100938558457+0.07257378414315907j,-2.72081844578458+0.13741406899763842j,0.18762904942048136+0.44512360105574894j
3.2,0.44487517159927176+0.17082838410409648j,2.624194330209881-0.12764296844864642j,-2.8967301873805225+0.011810632956147522j,0.31815776388981826-0.09107435675487707j
