f,dd,dq,qd,qq
1.0,0.16238647844569626-0.2565958768128937j,9.668091847800737+4.398589648767107j,-8.610840168808592-0.4475365883005638j,0.3106913902715228+1.1846185732866914j
1.5,-0.02632020616038199+0.1354968217914064j,10.791001081037404+3.16986874634167j,-8.697822279397478-0.5632351652865184j,0.5133816658367509+1.108352065136648j
2.0,-0.10408663797404179+0.4774529792047726j,11.225241228553362+2.383402390340815j,-8.784805732623443-0.6812461246934176j,0.5629607521593682+1.1200744597031747j
2.5,-0.16162661842590184+0.7323108340091345j,11.42943011042853+1.814176351200719j,-8.878166184981941-0.8234234094170468j,0.5578089295744866+1.1969350836947863j
3.0,-0.148051324037574+1.021626631800041j,11.601072126206908+1.3957730359368394j,-8.98108130921839-0.9415545085125465j,0.5431367997846757+1.286771940313085j
3.5,-0.2219261232586664+1.2533161395001593j,11.58400044122066+1.1219082079648928j,-9.115808204726294-1.0631760382504543j,0.49106867974236645+1.404743917009872j
4.0,-0.20751561470683735+1.4918687592265893j,11.687222692142297+0.9100614924500121j,-9.24051864158792-1.1762457955038548j,0.43921274200540283+1.5665453856200264j
4.5,-0.2470797649713354+1.7633323894798576j,11.606719122335642+0.716243609457166j,-9.404133940440564-1.28811616383408j,0.36835103322379714+1.721280339211335j
5.0,-0.3477154927332751+2.0451039292327104j,11.792992393376178+0.5597218551068952j,-9.584624636970476-1.4212014607109267j,0.32707907465718367+1.916618216634561j
5.5,-0.39724004671113977+2.294358070170682j,11.831519258688221+0.527583979479429j,-9.744881890001272-1.512842060746378j,0.22520083479140185+2.1237805500859137j
6.0,-0.3524587503564479+2.6152354021986834j,11.896042322939165+0.4783831438603645j,-9.94714514264538-1.575802959038593j,0.14208917383517639+2.3504379414826344j
6.5,-0.4203104743146718+2.876643511199551j,11.845321512607622+0.30893271891449103j,-10.146893209358735-1.6600172498275532j,0.06749584956560284+2.532795874018853j
7.0,-0.42095380401112525+3.063180466362207j,12.090449997731158+0.2443490197926721j,-10.323982879188808-1.7655927752576142j,-0.011317076025514794+2.8630318029392265j
7.5,-0.5255534198432802+3.4239890247824105j,12.12039640775766+0.29482494993561303j,-10.556684428596663-1.880551462707992j,-0.10704891629971014+3.1383863602065287j
8.0,-0.5501336902923125+3.8346128226529657j,12.271991012680457+0.42285481923018864j,-10.835962110671254-1.9484672499569027j,-0.29417905878946327+3.4532376509440335j
8.5,-0.8545791572157968+4.094658032482401j,12.310842723424+0.37694037393482027j,-11.103103341047063-2.147282616428043j,-0.4232034481506415+3.7324052074835343j
9.0,-0.838955076492939+4.450168785867524j,12.454112059350015+0.3296167390304028j,-11.365925626905419-2.230162863992378j,-0.4931999402618481+4.05684867212371j
9.5,-0.9624293528141566+4.746002027401521j,12.67657444411247+0.40750696518142604j,-11.56900565808337-2.3235835611706723j,-0.6215697721605982+4.431179201541202j
10.0,-0.974857561563477+5.1779360406543145j,12.891545448820667+0.31305476271813326j,-11.975274969966264-2.4588671530277786j,-0.7972446148773056+4.807940114085888j
10.5,-1.2125422177917367+5.623616181740164j,13.093708838882042+0.6970390943839728j,-12.259291796350489-2.6548979804120303j,-1.093765128597492+5.228815297700564j
11.0,-1.5712040411004924+6.442044184097031j,13.511417665544139+0.8970154896313396j,-12.854123107257719-2.9633680096557025j,-1.2669666485048303+5.808352925836756j
11.5,-1.6837545809393974+6.674024567970189j,13.941456412996784+0.9971235383094097j,-13.147336712930903-3.21765336966291j,-1.5501988371943858+6.36172145728987j
12.0,-1.9001206997824631+7.41646856935957j,14.526133849676954+1.5198445630205892j,-13.69183187476525-3.5091768737188707j,-2.0215281422869413+7.093251898778009j
12.5,-2.280125828649024+8.20015819322682j,14.567245319741893+1.6511199044679739j,-14.367032281197448-3.8177125964651863j,-2.2382397425127145+7.61907457640763j
13.0,-2.6024036253268705+8.98938071498541j,15.399743124179485+2.089206341451936j,-14.989901956547556-4.419105868548877j,-2.7295036740557297+8.502529853217869j
13.5,-3.870670730818615+10.09611449811422j,16.32024365144956+3.0705850964350265j,-15.889530853063354-5.3126749196451115j,-3.6185227694260407+9.571926611971275j
14.0,-4.01327406099335+11.726696116657108j,17.369292645903396+3.2741011572853154j,-17.292365960889004-5.8092794562970855j,-4.139329990250609+10.868339043048577j
14.5,-5.094679852757274+12.618929446196809j,19.241653313615775+3.937564611605259j,-18.232669673324455-7.1287017108516455j,-4.976818549910078+12.71479164882954j
15.0,-6.768460996539236+15.680467940745967j,21.30691256331815+5.122838316262953j,-20.931198056579653-8.993209553099788j,-6.28416124715673+14.993356329826625j
15.5,-8.9358255000333+18.466483592250807j,23.959754880634108+8.341256995996442j,-23.460468020167554-11.298761851361961j,-9.276866015456491+17.701899012825834j
16.0,-12.992620713980145+22.294898439659608j,28.208815884755296+11.047606006256643j,-27.03874182119872-15.607493368200293j,-12.341036338631183+22.08063371498085j
16.5,-14.753791946120142+30.769198256776576j,37.23778986978851+12.412749873034514j,-35.653444806813134-18.772758346120394j,-14.79314438652577+31.385121321826897j
17.0,-25.777171238339978+48.520895406994384j,53.29583521964791+22.951755329773484j,-52.76286257577608-31.157376046599527j,-26.54249463830713+47.286915125462485j
17.5,-48.1257051864809+137.7219259905544j,143.71720352902105+39.67472154770927j,-142.21146933221368-61.76196646177385j,-51.04386303269038+138.7569858930622j
18.0,213.04767043472168-170.9607538592519j,-172.72829544637855-189.5501074766112j,154.99470522650034+230.76174010933028j,209.32003343244838-168.4412596394565j
18.5,51.84253300149343-51.15946919067639j,-47.061629613258354-46.153608061179376j,44.4934160874838+55.77448016327158j,52.445586531204974-50.516663513409256j
19.0,32.80906121441677-26.424791212825216j,-24.48106609056508-28.80497196013669j,20.401574776583065+34.46834625459943j,33.37239023899991-28.293836399198085j
19.5,23.50485746141271-20.26950473656883j,-15.082534435171514-19.90727669276378j,14.885897386350198+24.107680047709096j,23.522513894161264-19.00387366190011j
20.0,19.26171562209444-14.96042975200521j,-10.552800587952945-17.146544013722202j,9.714467426164807+19.313833949830578j,20.58986666474321-14.656069398616843j
20.5,17.212212415660083-11.19783895874742j,-7.616187334338651-14.134268716256681j,6.070689903231029+16.706710108504144j,17.279435697250463-11.969701558456727j
21.0,15.449241230344388-9.309085747029018j,-4.801729077168899-12.667568135870818j,4.440004693502961+14.690608247075755j,15.871552983138663-9.206913675373599j
21.5,14.466971364003204-8.156727307085557j,-3.4424286516560088-11.499340239877366j,3.5754614244416962+13.272940583228156j,14.609847596013944-7.919312872375464j
22.5,13.087436465621302-5.28510392931866j,-1.2281766557931943-10.15369606766405j,0.40593738419326897+11.633160047307536j,13.289317365697855-5.7817297214605805j
23.0,12.56199484942803-5.079670789367616j,-0.5379465594328732-9.596747649347268j,0.3610243476623074+10.568604269599788j,12.959067474422948-5.22477330523448j
23.5,12.41913979674928-4.076026783825086j,0.3004943789651977-8.942289513883404j,-0.706529148717358+10.51981676411705j,12.209183656966738-4.312305938842007j
24.5,11.897620627102862-3.4493655068302744j,1.554966466590069-8.679436102727903j,-1.5054175164792374+9.691948872638145j,12.063340637818198-3.319748312602942j
25.0,11.863466444694478-2.990233888224244j,1.9021837355226658-8.44467317951916j,-1.9425596417381725+9.745903647616792j,11.820686530645986-2.9071582795750674j
25.5,11.588862276174469-2.9684020889173337j,2.307578910450081-8.326023346680817j,-2.0698625156700032+9.1253394760002j,11.74981704283308-2.6810136683869956j
26.5,11.968779922427535-2.610764090549791j,2.8524985886376495-8.18539713059844j,-2.436427966232726+9.479287994778643j,11.501342480849216-2.222285794386803j
27.0,11.811699219907243-2.1832218604509595j,2.9917829964159512-8.220500373241606j,-2.9040866990540297+9.351691472916714j,11.51254251190296-2.2049735285349072j
28.0,11.556265051103523-2.0072734716941345j,3.302304453518058-8.724845072970666j,-3.4078318273540518+9.059008237837428j,11.991779812230966-2.240501834141128j
28.5,11.970734792613722-1.7163796475523714j,3.6124995820102264-8.290098188786445j,-3.7665361376559154+9.646494415389283j,11.55831148218839-1.8565825511493j
29.5,11.867085929141274-1.9076474035699862j,3.6462759348300136-8.622680499862259j,-3.6486261184999313+9.32643950855611j,11.746166089660438-1.9796231878826624j
30.5,12.294997778546415-1.9594421752035944j,3.8576616566847797-9.131736129765066j,-3.559009103261512+10.039804999865558j,12.182061134608858-1.8988842680145641j
31.0,12.336730868989227-2.2265163195536957j,3.806851607562111-9.343290708657985j,-3.3089771158275143+9.761075740628362j,12.297945396287815-2.0419212607662853j
32.0,12.308569140936546-1.9428994665018555j,3.551734830313677-9.5665698750584j,-3.9629577612060274+10.156280125987951j,12.263280984898977-2.2366319877173204j
33.0,12.637766080894597-2.2213874982171005j,3.3074302421915878-10.121508078550333j,-3.3494133298607394+10.456006955597857j,12.730583364412597-2.5690333091401314j
34.0,12.97639437889869-2.857182217200036j,3.199583534739892-10.344752893504113j,-2.7832147435559182+10.820619047074066j,12.941951187579544-2.6824326092243442j
35.0,13.22663483068209-3.095075701529089j,2.7228603757153085-10.709987643942522j,-2.4793390054665108+11.229788189921718j,13.193799878187527-3.2678157083549255j
36.0,13.172323081162787-3.566503302746585j,2.337620229103324-10.912228268534239j,-2.1632767335270056+11.11028574714886j,13.262103393769486-3.592070547927303j
37.0,13.471370234198067-4.009870108076243j,1.6754708876960152-11.187623810595847j,-1.5694557088390637+11.552893015771797j,13.30250463316091-4.221829909371575j
38.0,13.577467086700565-4.45596894064317j,1.2143821590594115-11.305165339647393j,-1.0922758393128496+11.824870745654332j,13.407928071205305-4.608056446933974j
39.0,13.44146415664454-5.224017607844697j,0.5693401489791121-11.255225382203074j,-0.2512291621875909+11.664729849804214j,13.18779948827256-5.125901652703286j
40.0,13.429653985860625-5.709073865637427j,0.03199077036517295-11.296621298286542j,0.19360793607158638+11.771372483291763j,13.202226175550766-5.654942178322948j
41.0,13.257914704885376-6.402328793682923j,-0.8741099781151132-11.379032572691532j,1.0277945195937115+11.662075217098552j,13.140899727285703-6.6081790310028685j
42.5,12.686320120454877-7.3508701329962385j,-1.6109329645696988-11.069475632222641j,1.9174324592796854+11.095493629315333j,12.756078151410033-7.284081733499996j
43.5,12.450444442723107-7.697527138123103j,-2.3396147154180618-10.559875418066385j,2.331483022423983+11.06221227049973j,12.065390880265968-7.8942791571028375j
