f,dd,dq,qd,qq
1.0,0.1751140407822468+0.028724829925064557j,2.71707004508014+12.0274717215726j,-12.36395106687443-1.4998065904209004j,-1.2615310199598193+0.549034755231185j
2.0,-1.8205301891378656+0.48677184533606455j,10.416937787357824+22.30786339711354j,-12.587176251347357-3.046858579026444j,-2.870234627091383+1.4061348865103045j
3.0,-4.655913424482839+1.4015037799603685j,21.48436389377208+28.05091073246792j,-12.718217179906302-5.070276205004183j,-5.378740136286718+2.800605881407243j
4.0,-8.191287694350468+3.5407062697797924j,32.138602586018884+29.47298251922976j,-12.923064913816493-7.680521235217617j,-8.774735081429466+4.771498428676733j
5.0,-12.980701945141316+5.947426773027152j,38.750850605834415+26.198954206338776j,-12.761945801550347-11.160821918106377j,-12.100874213403557+6.665823412753598j
6.0,-16.551118745849887+6.079947305410975j,38.184095886441426+26.756060860757152j,-11.705044154688874-14.79501034621523j,-16.639453700221775+6.568152467719909j
7.0,-22.58941964666508+2.721025705946272j,33.81190513652818+32.67084028505786j,-7.890408511559036-18.964611397912684j,-22.67524849347376+3.413954473801528j
8.0,-24.866641826976-1.5807384175412729j,24.028648384236845+33.08872982055303j,-3.0052879778868005-20.974387743724588j,-24.660776460728364-2.5599829663300007j
9.0,-24.51697482455627-9.01660554411611j,14.153808736716826+31.653338424961063j,3.443042216500947-19.626027463006203j,-24.124308769657542-9.006164170678801j
10.0,-18.500539175056282-14.18240604905899j,3.2634156558162495+28.651915006030663j,6.5770003626842755-14.579308801922108j,-20.0011528246702-16.287032610467087j
11.0,-14.056536152496824-15.201573051250023j,0.6269337480045891+20.10111648431746j,7.652035661240636-10.99613635725284j,-14.977370189452408-15.347534175233944j
12.0,-9.736946127148999-14.822013002114241j,-2.159772141294352+14.583555310033958j,7.2899586520735875-7.666485596018897j,-10.293813817802631-15.371303837674372j
13.0,-6.728514239666009-13.576826277479032j,-3.1297195139667764+10.361668000821279j,6.395529944340361-5.356092073877275j,-6.76771597045566-14.31651551138639j
14.0,-4.508026713343761-12.283173158595801j,-2.803241856471315+7.115464628703377j,5.65616165012804-3.6376217422665613j,-4.602131599876228-12.115241547295533j
15.0,-2.5867600359046024-10.847513031747193j,-3.0557103579321936+5.30855048181212j,4.543739723066568-2.4748781366832873j,-2.56572657747755-11.192647838416594j
16.0,-1.372434599826765-9.69104168353561j,-2.610457918592463+3.7587282379406513j,4.231314189660922-1.5797123246195035j,-1.4471920234358073-9.591882471410136j
17.0,-0.01715414169223176-8.483271037599954j,-2.4500832345826367+2.8998050693312316j,3.2387056911117384-0.8615887381761835j,-0.4121768153554157-8.78366841248339j
18.0,0.7499527381098907-7.46203029594012j,-2.4012323028141784+1.8541923306129093j,3.059691999309514-0.5977171085882315j,0.9448447854331032-7.589032093539167j
19.0,1.7444737640719394-6.6911802151202275j,-2.1628692030176375+1.3464189401231783j,2.546174733666623+0.007287045700621492j,1.6438014933315923-6.83180754798215j
20.0,2.4703377595462532-5.9183323394410134j,-2.036214146161491+0.8566792212945937j,2.2600485826491954+0.14122526728820098j,2.513375357610111-6.058387522380112j
21.0,3.2254869508726247-5.37449493099861j,-1.8882147870531694+0.5635384523463469j,2.0338513124379407+0.46125476444675745j,3.1488067207443295-5.560220303720337j
22.0,3.8546086470839227-4.914968805330935j,-1.7915680349506806+0.28621867752629715j,1.8339941674094653+0.6852978369873636j,3.844466521284505-5.1838249638930165j
23.0,4.444264321616064-4.537375375936575j,-1.6956877781708346+0.02603154010558706j,1.8311402149323075+0.7272188842002767j,4.5858578116035735-4.636041186299121j
24.0,4.98717021738768-4.2402356221836j,-1.6576204161454708-0.21254688542068956j,1.712992723434391+0.8239875974629407j,5.288270707044058-4.285423134574115j
25.0,5.59233596446512-3.95573696850129j,-1.5903224340890632-0.1928280079408058j,1.2909362006126148+0.9304198683882302j,5.559596811382637-4.405603868234532j
26.0,5.9843959255566155-3.821013048954325j,-1.5806855382231182-0.35180721902034384j,1.5772744904130667+0.7900720160668719j,6.297244029738862-4.079504611986543j
27.0,6.506879054528642-3.751845064546684j,-1.502863461998748-0.4664741236456287j,1.3900032024852782+0.9493183385878157j,6.790236967791839-3.911605024270756j
28.0,6.936375891284359-3.7866765992827234j,-1.4170660553511927-0.42603502527915693j,1.3533676690564627+1.2486866899453493j,6.857605113636997-4.0312917133427995j
29.0,7.289059923077606-3.7370166002430167j,-1.409665079856756-0.518330598779454j,1.2080053715606989+1.1387875421740066j,7.304630212647754-3.9784436458673107j
30.0,7.518887904343533-3.7777621908005807j,-1.3779879220700582-0.6255113388305347j,1.5356958169007522+0.9134098422216097j,7.855850327571993-3.8331032796366316j
31.0,7.912023428021202-3.8760369937681363j,-1.364403452450853-0.5641161959772645j,1.3276809037724016+0.9708077742531214j,8.187654369719708-4.128723588687501j
32.0,8.229215063013173-3.9685021718611626j,-1.3471553105495446-0.4823394821754672j,1.1782168080867235+1.0958903669413287j,8.172679018431698-4.4382183660781305j
33.0,8.378926421001031-4.082870538215247j,-1.3515982146859695-0.5675597792657001j,1.2465895340930049+0.8264554797737538j,8.690245193363959-4.507660576830764j
34.0,8.551588358890315-4.304246771832738j,-1.2161929835107603-0.5942199572381492j,1.3222915312458066+0.8949963330239623j,8.524346278205762-4.379243297070161j
35.0,8.773885590833912-4.452619292735289j,-1.2782198653630314-0.5362149832065408j,1.1747320447293368+0.7945737337549468j,8.927118679148476-4.80616304092475j
36.0,8.916080443205695-4.700725557102997j,-1.2050939556846707-0.4949125783003626j,1.2309761839692386+0.9657921248647887j,8.806991906015183-4.977978808842153j
37.0,9.07435867218643-4.931928926924767j,-1.1907434214528143-0.4305935014523157j,1.0019653139751776+1.0754771281186082j,8.954573521292925-5.375905282756175j
38.0,9.114461971777223-5.143255055203863j,-1.1461330622481727-0.485316821949739j,1.1382448807094794+0.9507442875306675j,9.081034385256492-5.2909657871047635j
39.0,9.088764048642698-5.403260343588361j,-1.0764069700212162-0.4838457666225806j,1.2787494437974183+0.8107625949804309j,9.024135953523224-5.415969348398557j
40.0,9.113028414751673-5.626956587141842j,-1.0937219337742305-0.39585384691640024j,1.2221302126095202+0.8968031805404505j,8.980799869851849-5.964598239441621j
41.0,9.126732136506524-5.797438841773301j,-1.1183718901322677-0.4177594798492472j,1.0637375991228257+0.9472618633858146j,8.976704171443341-5.99345141427546j
42.0,9.10580126718772-6.011709417421882j,-1.1066202645882626-0.33198606689605703j,0.8967275216457566+0.7880908618487362j,9.022794770624792-6.5267802167856805j
43.0,9.00897403004269-6.287331395340634j,-0.9744806212095815-0.37217372742326316j,1.037943218836502+0.8953699893227838j,8.667445336013778-6.391668978851628j
44.0,8.920349842773318-6.502058430172168j,-0.9450428100800807-0.3298144639572921j,1.0906153946512405+0.8097577835361719j,8.567814654654603-6.622858956065638j
45.0,8.817333812502492-6.645169946071615j,-0.9647041527245419-0.28827911241463744j,1.0310295383119847+0.4500066211761936j,8.746200102608942-6.909881168871012j
46.0,8.64981827036815-6.813721038685283j,-0.9832600783564227-0.3007398033612392j,1.0979202600303275+0.42419639053686764j,8.654779845330225-7.066362838654012j
47.0,8.516186605919382-7.0535752495486825j,-0.9437518800521529-0.3045946871743731j,1.146349222736564+0.6483757345956236j,8.465037374639413-7.131065829930589j
48.0,8.432004397697169-7.192394064032184j,-0.8983544282906765-0.21422615828905112j,0.9328373878815159+0.6897649835870373j,8.103433777925217-7.510377863627815j
49.0,8.270792734445793-7.348451126423784j,-0.8618870764059772-0.23767050768690867j,0.9656874287322388+0.6411873774985615j,8.011239412647665-7.409486577590419j
51.0,7.911073837402408-7.613104033607796j,-0.8407614536846219-0.17402283525003326j,0.8513545691536291+0.4185533188998336j,7.856905404101455-7.89577430509112j
52.0,7.668679068194214-7.699614094388286j,-0.8298923741384902-0.1929672603110265j,1.1176113797706837+0.41832381999270246j,7.634957487259626-7.845291145580796j
53.0,7.547145576226735-7.806030433018364j,-0.7745235057127682-0.15427562592868216j,0.629323009242543+0.46014423094356266j,7.298539679592126-8.122438554896473j
54.0,7.351161685341147-7.886441061836987j,-0.779568421890522-0.1538172057113244j,0.8079916114155715+0.26478085972277626j,7.329806493798749-8.050236726364409j
55.0,7.190750736511189-7.97237157552247j,-0.7268078956008742-0.10784443212463479j,0.7973135849877355+0.34072435499430137j,6.987892270586145-8.086526393229356j
56.0,6.968583057227172-8.073214502925792j,-0.6897747505254616-0.11200541323047308j,0.8098779674796023+0.5773657991599409j,6.6655352538749035-8.24353671970827j
57.0,6.7018777487457-8.052831820516573j,-0.6968717725099458-0.1612503373024341j,0.9067121783161148+0.1061936786317413j,6.714396518064395-8.065020842023866j
58.0,6.568159550702313-8.106453242071968j,-0.6737630520735614-0.12007596016927835j,0.8271165783526808+0.12278124548941019j,6.534181904878182-8.172387025164376j
59.0,6.375751352417106-8.162149966632006j,-0.688021326430444-0.09509879898005924j,0.7623314106351976+0.2648140804335493j,6.4805465929728925-8.285792028464396j
61.0,6.02995294917174-8.181464208384595j,-0.6329183685383033-0.09778496875961806j,0.7002422681030189+0.31013034707657233j,5.907233953078988-8.1299993580039j
62.0,5.893302519589649-8.187847627149393j,-0.5945420786889978-0.03715066280875634j,0.47240768327251503+0.2852111788908542j,5.60062218985594-8.331598716004116j
63.0,5.618550631096994-8.185185939198258j,-0.5749854443139059-0.07698728976935443j,0.7273710275902032+0.15094130975195977j,5.622447821356031-8.151016313313608j
64.0,5.418869224228896-8.16618934771015j,-0.5575902923357727-0.07283173441332447j,0.7348155799338525+0.15444489746138143j,5.299873935353483-8.23700888893096j
65.0,5.244545150689304-8.16035004481192j,-0.5431813618366098-0.09093063033534915j,0.8341425010992505+0.23675058111108302j,5.118679269786533-8.029973947086646j
66.0,5.090609662325093-8.178246060713027j,-0.5254410476986819-0.06092714756005124j,0.7308002725322094+0.3611862597342713j,4.904932892157873-8.138056927940294j
67.0,4.900817642901687-8.138037853289795j,-0.5068473255653534-0.0554601689762928j,0.9173365676969799+0.22593685920629292j,4.90933724943674-8.01821961383776j
68.0,4.7676809397460165-8.08134037735033j,-0.4895426426010278-0.026961999299069173j,0.7182020895065279+0.16796410182793906j,4.533530183124097-8.16545172992824j
70.0,4.488648346105-7.999183429349962j,-0.46877840358129397-0.024990861726516322j,0.5535808870767341+0.12746373802071978j,4.388284318635942-8.101944063051416j
71.0,4.343160125820506-7.90995924486676j,-0.4985382688144317-0.022314160011721595j,0.4520641551932087-0.010576402575952064j,4.375758452368979-8.021573066348484j
72.0,4.155217061811236-7.912142521083784j,-0.4111313457460504-0.03307844890626116j,0.6830512463921761+0.2815383948549321j,3.946679345995502-7.976477113814004j
73.0,4.074080224535015-7.810726120469807j,-0.4493022158538097-0.04050334838840941j,0.5311355561556246+0.03040192212642798j,4.1076597161171655-7.726561776793513j
75.0,3.774863063904054-7.712333657475515j,-0.4187012659282844-0.07304210276662537j,0.6198644934332845-0.02116292676082042j,3.866685361608326-7.51224547029528j
76.0,3.656476928908747-7.674308517321553j,-0.3701485106712416-0.05328795515842022j,0.6333575926180656+0.0932298040632354j,3.5235391799000615-7.451897229940972j
77.0,3.5610700397674013-7.605903657957826j,-0.38577180603847117-0.0312889886448075j,0.45358623562232264+0.02587763939858035j,3.5173835460289835-7.598928950724213j
78.0,3.441003942116217-7.510823233797888j,-0.38816438136039066-0.03009125600802154j,0.49754290232558657-0.13482702044466102j,3.3488956476789884-7.622453852576849j
80.0,3.2238175622733607-7.431134440484723j,-0.32482086105151364-0.029433777373108594j,0.4778503297857809+0.12983991131027406j,2.9510003283899584-7.403489320040695j
81.0,3.123792305099735-7.372428773548663j,-0.3209265383564563-0.015497030979007675j,0.5375206600373826+0.054864231574867695j,2.969364789735214-7.335633285322293j
83.0,2.9457462193019346-7.242711682740376j,-0.2951864221457619+0.0039503091893308695j,0.42575944624044215+0.21739999056472192j,2.6539825988291046-7.34551149112295j
84.0,2.844770206038549-7.1501773137837j,-0.3007573522972735-0.01374733969453179j,0.3949995185770104+0.053192803463702636j,2.7346842640861553-7.1086769615250835j
86.0,2.677347856419372-7.003435316397152j,-0.3187012891287882-0.0387202946882218j,0.4191027422735362-0.012685599384897907j,2.6693772321629243-6.915190820199566j
87.0,2.6120339409762448-6.997848988762511j,-0.25625951728749674+0.02439771019818071j,0.34427862450796837+0.29257467186723324j,2.35391921833164-7.046053079423948j
89.0,2.4441244279198715-6.847540785778792j,-0.27627478821709417-0.00018576279965160092j,0.45817730769081816+0.148640873270209j,2.4040873593289316-6.840388360299308j
90.0,2.4018378292324103-6.782446096663705j,-0.24476726561606738-0.0012066339469340992j,0.30596291110114365+0.09929837780084336j,2.2481344979307005-6.756665944824227j
92.0,2.2303754383486734-6.632689169122717j,-0.24722916536837242-0.029008488393326676j,0.415331746705185+0.13503142067453028j,2.064497767055994-6.519327397812163j
