f,dd,dq,qd,qq
500.0,0.08009754229189141+0.0822476626024291j,-0.009716736835798302+0.004342587782082j,-0.06496040957647194+0.03393337515540626j,0.05248252101224001+0.05809497394664656j
515.4,0.06036149400064479+0.08480258991912197j,-0.011933453138219932+0.006862872028460509j,0.014463909221533443+0.004284047621421099j,0.06200798747853006+0.0683481307138129j
531.2,0.06691957356795092+0.09473648327364573j,-0.01006806619966583+0.00951628357688914j,0.01272788626073224+0.0019845292042790607j,0.0616944113245506+0.07460692429004041j
547.6,0.07777172643434449+0.10671911199168292j,-0.008281170740007764+0.008746133033553193j,0.018238053846297758-0.0024617914343119086j,0.06583586938903167+0.08349184165427427j
564.4,0.07095727512331258+0.12300558531935789j,-0.011382088563713526+0.015080233236463434j,0.016272248473231953+0.004154391788139131j,0.07426176103098019+0.09580305936891001j
581.6,0.0872075878360801+0.13045170768415243j,-0.0093346448984264+0.012753038637993963j,0.014587876081887252+0.0028950107500784793j,0.07601692188799357+0.10556297574902682j
599.6,0.09128054272069146+0.13307652233272843j,-0.012475026615842643+0.013561874024251101j,0.02025998132807899-0.004819227715006442j,0.0854133332620474+0.11387112977738825j
618.0,0.09906121798581037+0.1534258486704706j,-0.009444211086952488+0.017013116137389886j,0.020926221153233764-0.00059720180215549j,0.09163067340224948+0.12817231881408683j
637.0,0.11742293996045608+0.16439480891987868j,-0.012012097881879782+0.014904945784124877j,0.019496379442479266-0.008463041877986082j,0.10490754222985083+0.14713630240637285j
656.6,0.12496476885485516+0.18273925116672884j,-0.014129044853548337+0.02064263839672458j,0.022460103445652663-0.010767974430534717j,0.11307081105364994+0.16193212104065705j
676.6,0.14125925002292183+0.20130254346149035j,-0.013987920194353218+0.02548388411307377j,0.027946391865077264-0.016464914229180005j,0.1272618880359581+0.1785598168676915j
697.4,0.1633474141547511+0.22132561167494014j,-0.013798846689228015+0.03053205244873313j,0.02874367855685597-0.021613622308070412j,0.148811553543281+0.2006232013299666j
719.0,0.18427659508878805+0.24209750677267305j,-0.014319991792283916+0.03518100835666376j,0.0338606677974279-0.02715867443975396j,0.17393388916803354+0.22303495170195453j
741.0,0.22097455572347965+0.26425933595088j,-0.01481069415204516+0.04569108604283526j,0.031140470631083668-0.03922943576965833j,0.20676714252987927+0.24671682730763167j
763.8,0.2679672600269479+0.28813372037217616j,-0.01181631361674745+0.05855260599980361j,0.03377495089625053-0.05535754194073834j,0.24894068033405026+0.2713910874056429j
787.2,0.3325122706752826+0.3086294160448656j,-0.00428559684813104+0.07451637606628399j,0.029735537893380466-0.08002110170060713j,0.30251104839086396+0.2953186873675394j
811.4,0.3978081106094905+0.3176557826559308j,0.010360633966675623+0.09992223226258298j,0.009827511557698329-0.1086763642354503j,0.3943078336224483+0.3076237136952544j
836.4,0.5189210347194141+0.31042205658587035j,0.04623710287014296+0.1207857454964679j,-0.023427454945549955-0.14574364502715467j,0.4988945612706615+0.30624525208838016j
862.0,0.6471483534719843+0.25086273053655433j,0.11195237157926102+0.1334329845153957j,-0.10567196810789474-0.16311317782973003j,0.624862258077351+0.255760490965447j
888.6,0.7601176890050114+0.13267214769569485j,0.1929056558361736+0.09312197483113349j,-0.22213904235045184-0.12389435234964088j,0.7405615046262548+0.12926917548261652j
915.8,0.8231694778581459-0.04558520830125875j,0.24404425103980287-0.02019350529422345j,-0.2778405322741497-0.00444932172022054j,0.8067398005755736-0.0428618231284833j
944.0,0.8092097979942373-0.24139690598982125j,0.19911602825607685-0.1465997613657176j,-0.24338720053499166+0.16502081297459986j,0.8025175070938315-0.2579995581834671j
973.0,0.7067829057173338-0.4219335976674967j,0.08575542751816781-0.19797774378318347j,-0.11485782139481952+0.23627656776521336j,0.6983801357052288-0.4309219989131233j
1002.8,0.537926846248-0.5304308066687431j,-0.01025894994203258-0.1698597799306449j,0.010236455721666208+0.19351339658757255j,0.502291406687112-0.5327658163723838j
1033.6,0.3830928754232661-0.5466751532713661j,-0.04309801972598096-0.11331061024806058j,0.07588069732272185+0.13368811149366897j,0.340747363518746-0.5456847050559233j
1065.4,0.2641530584687724-0.5162220937262433j,-0.0555849841285289-0.07117505354538459j,0.06253275070033992+0.08098702637218273j,0.2243464653133454-0.5096905380090342j
1098.2,0.18186205642631245-0.46616542211136747j,-0.049760933165784546-0.049549780896986674j,0.06360362028586852+0.04990681411451837j,0.1739215793452915-0.45394941191304644j
1131.8,0.1306600444423021-0.4186653509582518j,-0.04270413329410561-0.03263683656800345j,0.05674632677763861+0.02909178230204953j,0.1190912914650753-0.40929125343763006j
1166.6,0.09357195617799903-0.3826183635746859j,-0.037323193709779684-0.02336271622450669j,0.06105064618630928+0.018819679745943056j,0.0929432292419925-0.3681929382218939j
1202.4,0.07412215458876663-0.34313056222407834j,-0.03113279924206474-0.015144028299228375j,0.037235856106860254+0.013395068724084008j,0.0659955672975514-0.3326521725753377j
1239.4,0.054994937954992294-0.3132880331908449j,-0.026246396162310105-0.011560735687874933j,0.030244771616849585+0.004910958401677774j,0.051367735572619255-0.3047233315314685j
1277.6,0.041329386138987484-0.2861483019230637j,-0.022941977022684676-0.006987650527272779j,0.025284547625976247+0.006133608438132731j,0.040000464258663604-0.2811191865259358j
1316.8,0.03305557343259693-0.2637220012421725j,-0.01899199111033799-0.005759482398762186j,0.020491268793796504+0.0032186374486131916j,0.031106737298511877-0.25730874056579905j
1357.2,0.025699510223896927-0.24282826754359055j,-0.016923148329597133-0.004134487512347421j,0.01719155104713608+0.0013309103584830022j,0.026072504578692784-0.23709505680815915j
1399.0,0.02089870377827997-0.22528913951829002j,-0.014665858729037445-0.002916027092369983j,0.01437029425420842+0.001134601129043826j,0.020126598968357307-0.22151920852966156j
1441.8,0.017496195572496747-0.21040344926807555j,-0.012148260044661225-0.0020453397746307937j,0.012566647142947415-0.00019354848847322716j,0.016250958415996386-0.2072829000906534j
1486.2,0.014167179420964363-0.19682360424020884j,-0.010333649706891022-0.001760190858613217j,0.01198860097568202-2.897183872247378e-06j,0.014139933213485695-0.19390129889374458j
1531.8,0.012503369601766927-0.18481853899538211j,-0.009066471258745924-0.0012909795692878836j,0.010290792080366946+9.369529459852254e-05j,0.0111799932761327-0.18236583507294002j
1579.0,0.010638247529557722-0.17428189256226057j,-0.00796070772965587-0.0007475525881771149j,0.009737188158005712-0.00024776477102930684j,0.010311578557952367-0.17147154962495892j
1627.4,0.009648611392453097-0.16465885549836407j,-0.006918663828975788-0.0010030798243236428j,0.008602760079332835-0.0012134916943012603j,0.008555821004587433-0.1622757145185783j
1677.4,0.011063288972416357-0.15769847906593565j,-0.004553003073405352-0.0013117714893621998j,0.009139837617313028-0.0004766521877812131j,0.007565044747573524-0.15428619192335602j
1729.0,0.006973326367798949-0.14806004235340475j,-0.005727050454177069-0.0007804670004165236j,0.006861505256282987-0.0006729292814150985j,0.006336240379146346-0.14584405864887j
1782.0,0.005314661464681477-0.14031257957434903j,-0.005475997106826379-0.0007043450018671786j,0.005662699473725088-0.00023710084153884698j,0.004997190893370584-0.1392232295022617j
1836.8,0.0052037211069104715-0.13249885463292785j,-0.005527244941409358-0.00033400195934095694j,0.004620357856358702-0.0006180702934068355j,0.004086332998908732-0.13225882435515673j
1893.2,0.0042658198012622585-0.12747536495848671j,-0.004291491140714256-0.00030837965167654444j,0.004905310141131939-0.0007697418170416418j,0.004053373123154333-0.1263625577181499j
1951.4,0.0038644093879519684-0.12178557624060594j,-0.003940108641574612-0.0002696297796309123j,0.004299482333597117-0.00045477756452627925j,0.0034597799905749793-0.12024969864696089j
2011.4,0.0029807869238048456-0.1152758209804132j,-0.003328373026077039+0.000539779902421011j,0.0033106407683180477-0.0002719224309524723j,0.002932163782681546-0.11484381160716445j
2073.2,0.0030640887701208234-0.1114315491447354j,-0.003269390727634637-0.0003121115098413266j,0.0035847026366643735-0.00023211530849506667j,0.0031805990707588494-0.11005224751156858j
2136.8,0.0019806488100183295-0.10577911406128282j,-0.0025932709146347984+4.871410013670757e-05j,0.003665865540592051+0.00018655347593432816j,0.0024187195186447796-0.1053404736391198j
2202.4,0.0022449795134751134-0.10265524583327165j,-0.0029010906613055583-0.00031039958160169155j,0.002575917062270594-0.00024079396199259065j,0.0022055421643378814-0.10139694821214487j
2270.2,0.0022099324040004468-0.09782550931038812j,-0.002550544901727211-0.00013653421292621508j,0.0024232475878453587-0.00012456908729922752j,0.002214074463880042-0.09699339415424131j
2340.0,0.0023769982215575388-0.09441730820916193j,-0.0022058736257386494-0.00014205388690181377j,0.002789886860214191-0.0002325841050455969j,0.0019873176456821767-0.09348542074812757j
2411.8,0.0017494082789104466-0.09038489564381864j,-0.0021719946715368483-5.259306245650099e-05j,0.0022495875462148077-0.00020140920510405337j,0.0017034486080033384-0.08974292283357538j
2485.8,0.001674768609970685-0.08670634814997631j,-0.0019815972169624513-1.2902425258209255e-05j,0.0020783052937215023-0.00013097613247005764j,0.001704678733086648-0.08612526864152861j
2562.2,0.0016241663071846454-0.08342362135137871j,-0.0018045652186394622-2.4379566238073944e-06j,0.0019187854702563474-0.00017257187138729457j,0.001575906866388893-0.08309040730126052j
2641.0,0.0016267927099466461-0.080388761820735j,-0.0016037270895576765-7.606723478002873e-05j,0.0017329542828235212-0.00019659572938408304j,0.00154480219779176-0.08007999380127678j
2722.2,0.0015251554985445505-0.07735111974649875j,-0.0014765483500187681-6.523413202950848e-05j,0.0012521311191471352+0.00023709038487253501j,0.001315224401917059-0.07690712850957922j
2805.8,0.0014242263008022976-0.07469388282013387j,-0.0014118619223178193-6.506954032519004e-05j,0.0015576049635654845-0.0001659517891039116j,0.0013230231414621332-0.07422762892600654j
2892.0,0.0012886120806670585-0.07187533204228704j,-0.0013632550068331034-2.212417893620298e-05j,0.0013312715063116987-0.00012830604258699194j,0.0012181163113754029-0.07155545185895557j
2980.8,0.0011824113052979483-0.06939302649681402j,-0.0012709220094379097-9.235713302851339e-05j,0.0013151362239449123-0.00014332149026040494j,0.0011940379336539478-0.06903176664528862j
3072.4,0.0011090227442946566-0.06691492160917571j,-0.0011669558825100493-7.677728196181315e-05j,0.0012174657069835468-1.4879404550844848e-05j,0.0011955018168240059-0.06656554169510542j
3166.8,0.0011528809755326234-0.06455461756160007j,-0.0010821479480899543-2.083734317824906e-05j,0.001091892320211392-4.467693471817143e-05j,0.0011276581257721602-0.06429761676309334j
3264.0,0.0011485584041366753-0.06232092446270517j,-0.00101433791541023-4.075998965200208e-05j,0.0010708105438900848-9.757958064904196e-05j,0.0010147610843180416-0.062022137535845664j
3364.4,0.001102661187045518-0.060123696929406105j,-0.0009595103234941445-6.247014445252309e-06j,0.0009245801761478587-0.00016285900988292502j,0.0010309348286105316-0.05988907378847281j
3467.6,0.0010325678834026853-0.05808423151622432j,-0.000904391640464719-1.988161299198185e-05j,0.0008989627974450548-4.01981940064758e-05j,0.0010175293225655468-0.05788997661925824j
