f,dd,dq,qd,qq
1.0,0.2944890189500542+1.2124225629678065j,1.212768718391992+1.6673170790742424j,-3.058919271752804+0.7231198666140463j,0.2896261355887002+1.1966528022653966j
1.25,0.6829291940850535+1.29828689267135j,1.680836085838791+1.6177328844019199j,-2.707455836228787+0.9742693582616707j,0.6956570947275695+1.2530868386558742j
1.5,0.9532587499186234+1.2572319286756586j,2.061812914750228+1.518736745252213j,-2.5229465382693252+0.8795826344967831j,0.8841033250982284+1.2922153485905514j
1.75,1.2276338942739675+1.1567677775190974j,2.302893204639295+1.355800991278814j,-2.297416580188815+0.9916233336632005j,1.128359273799657+1.191130332255508j
2.0,1.3152095688857635+1.1533138032900354j,2.5409571946252494+1.1698823068726862j,-2.2922237735035482+0.8017155141216625j,1.2772854279633403+1.1122459248082437j
2.25,1.4799663505957825+0.9781690595059379j,2.5166757018767703+0.9547267242100057j,-2.1242731231677947+0.8792062798486419j,1.471880552376923+0.9336828911709185j
2.5,1.4511447347410666+0.8723327337192996j,2.7172926805541335+0.8298711408825166j,-2.0058904239950435+0.7054148492206646j,1.4489149665571026+0.8934476408494774j
2.75,1.6895470723823285+0.7999465496483843j,2.787808104015176+0.5768662423522208j,-2.0559087338105257+0.6980990740839563j,1.5478498561213287+0.8639131229291568j
3.0,1.6660956527499262+0.7831015296434599j,2.865837920737308+0.5291193732910666j,-2.1649873313782315+0.6363294893664322j,1.4950145989846306+0.7493601814011615j
3.25,1.666196053217782+0.6389449773872203j,2.7624338366635905+0.2775583081589419j,-2.0610363280038175+0.8038007848973958j,1.7866317054103242+0.6291626553779845j
3.5,1.6446137327669845+0.6937862355183904j,2.691508750678092+0.2074928110378318j,-2.145428147762587+0.5562529542457493j,1.8197803128592491+0.5537683252072476j
3.75,1.5895865463807348+0.6299609881180745j,2.8264161219136597+0.17736533517337216j,-2.0735578379225115+0.527393568938798j,1.670268037971277+0.6297564359359507j
4.0,1.6775453806809548+0.5647621969014813j,2.804801108681662+0.09833004447430582j,-1.8766458345084942+0.5150535208398986j,1.6161972900777601+0.3190899662480997j
4.25,1.6762151967604835+0.43411850627133813j,2.7668795769439187+0.10996641486132619j,-2.067844499072122+0.5944438147782557j,1.6340818236681705+0.3628346014599946j
4.5,1.5544597198365022+0.4398557866209908j,2.783060133076587+0.12704724133544243j,-1.804360739349509+0.48048100789308024j,1.7510337765746902+0.33560816404343785j
4.75,1.6810039468216713+0.5606217091615483j,2.6479537497809584-0.14087585247375234j,-2.0091382850402586+0.5660739392592204j,1.8003446027467631+0.4363797248112682j
