f,dd,dq,qd,qq
1.0,0.2437780650149096+1.1845049849359401j,1.1999669422049808+1.6673246793032646j,-3.039863750997541+0.6526739283804691j,0.2265482073680637+1.1903524633280318j
1.25,0.5839156587013551+1.2983709370787355j,1.6787562818971487+1.644239387932528j,-2.8163081109598633+0.8180748207419544j,0.5898659702504573+1.2991128821928897j
1.5,0.861541659420708+1.337864510442095j,2.0573478614082554+1.5498048659372987j,-2.654917503297382+0.8450745936021724j,0.8433792944698999+1.3344348555370438j
1.75,1.1281985709649383+1.2373255395133849j,2.3192885396783094+1.3614843093932967j,-2.4570284975154713+0.876568863363092j,1.0709525812652891+1.271909275516993j
2.0,1.2709878406230566+1.2044882504362358j,2.5099762443223446+1.171482795740471j,-2.333797929439221+0.827771656006719j,1.2354578086358905+1.2017133441489065j
2.25,1.3399655609011303+1.1201277866974622j,2.610879480765261+0.9928782685850561j,-2.1804744814398016+0.7737817443064077j,1.3985435174956287+1.062369349743708j
2.5,1.4793765542841972+1.0142568840825885j,2.7496731011255187+0.7721702969099038j,-2.186905666559548+0.7701120791845646j,1.478409600731452+1.090632988941303j
2.75,1.5783846327766302+0.9788604552504524j,2.801243156332697+0.6103541021044974j,-2.1223711104692886+0.7023328267228578j,1.5503418186395317+0.9707293652255584j
3.0,1.6089275237330032+0.9669310909846419j,2.8416895337744505+0.5911605326562155j,-2.1569470808061477+0.6706226555080121j,1.5545802069821666+0.9371486379013354j
3.25,1.6453000023821827+0.8300719010838425j,2.843017417156194+0.40185985954839776j,-2.0474188109744444+0.6890010245596514j,1.593765874786112+0.890718485450906j
3.5,1.696733156730531+0.9157160179844305j,2.85413054130933+0.3486154483680064j,-2.0970009793184485+0.5629629332303554j,1.6139299173241468+0.8244510586166367j
3.75,1.7363405601634965+0.8177062694914986j,2.8205669424624524+0.2176192997698858j,-2.0308710449298504+0.5508067547274061j,1.730815796239363+0.7931259320176687j
4.0,1.7076137032661403+0.8364204441621567j,2.8409924200337704+0.15568546828412666j,-2.043859993501449+0.5459186307494357j,1.6559447631656916+0.7652734909686436j
4.25,1.6741923611063294+0.825929868719523j,2.7939820146350516+0.13936741781113593j,-2.0584255517672236+0.457691374606181j,1.6322235349931071+0.7638140869738241j
4.5,1.6433098754483526+0.7232736223615024j,2.832031368744422+0.07419219299642554j,-2.028518453530329+0.506658840971329j,1.6492969280483474+0.7839656889328173j
4.75,2.013991917403038+0.757234688270214j,2.7839621015813663-0.10197856759172375j,-2.0254864251119127+0.486485581673463j,1.6791147687225598+0.8019833972387673j
5.0,1.6644152030084078+0.8103778858096305j,2.888456888271292+0.022118622557443235j,-2.0598521674477404+0.36644322251889205j,1.6943976889367316+0.6731082039253538j
5.25,1.74002824499612+0.7907595219865974j,2.8277509287578884-0.22611785800398243j,-2.073027884409405+0.4797592011314267j,1.7511525635907184+0.7716696462020269j
