f,dd,dq,qd,qq
1.0,0.13842447155015108+0.29971578677480143j,3.4260495334875394-0.028178394385018013j,-2.9293546351786337-0.001105787013257942j,0.13879235965364406+0.29918779533446227j
1.25,0.15164688224334436+0.37291516219052706j,3.4413679607075065-0.03823152128846008j,-2.9418497577377343-0.00018491795753847236j,0.1522789683242393+0.37203175757949924j
1.5,0.16752554920828028+0.4462265334439612j,3.45974900273434-0.050113099659204074j,-2.9590498018424785+0.0023059935430762247j,0.16815024082039842+0.444827578513307j
1.75,0.18622061897794703+0.5195653640668121j,3.4810001039947984-0.06418083654714568j,-2.9800577292166515+0.007088090319062729j,0.18658519881490943+0.5175577680595675j
2.0,0.20785617572325293+0.5920953665189179j,3.504874282754141-0.08079153311192133j,-2.9999791504185667+0.015529785547180581j,0.20818201745484727+0.5901179319124014j
2.25,0.23259333498307672+0.6648867807527202j,3.531205007925885-0.100203745249833j,-3.0245777794963833+0.025090773408683334j,0.23266453957319105+0.6625147457014482j
2.5,0.2604981890984953+0.7372072443368078j,3.5596449782380932-0.12273017274559184j,-3.0509443230392854+0.03737846531276602j,0.26028618690165256+0.7345219510409148j
2.75,0.2913598431367279+0.809243479760203j,3.5899305825154504-0.14858202281031163j,-3.079039490360236+0.05055442478337359j,0.2911836430285895+0.8060082896286567j
3.0,0.32621004946685733+0.880154279701663j,3.621684276363968-0.1780940734251324j,-3.1080441560419914+0.06929799582466889j,0.32569284974607393+0.876894697079913j
3.25,0.36436178086783244+0.9508618888076369j,3.654604513594441-0.2113369895679269j,-3.1402575030852926+0.0897269598629541j,0.3634480704226726+0.9470225952096206j
3.5,0.4064851890209083+1.0197147238461926j,3.6882312415606187-0.24859793505658656j,-3.1713170165308004+0.11516393526416843j,0.40515095764511755+1.016042288724302j
3.75,0.45185793203370156+1.0877684188230323j,3.7222325819534605-0.28986808902637273j,-3.2043071581699674+0.1421785769266309j,0.45027609320381434+1.0837503530886528j
4.0,0.5006933729423588+1.1534224388575536j,3.756051746507717-0.33528247851544846j,-3.235584334090984+0.1729370334099096j,0.4991643626412202+1.149612540833388j
4.25,0.5537197407104164+1.2179371095144376j,3.789485660357214-0.38490422642126765j,-3.2691373295240456+0.2076860976047508j,0.5517713245211068+1.2139205018029056j
4.5,0.6108576808967628+1.2804939879716495j,3.8220414391067887-0.4387115295855457j,-3.303132734299041+0.24710117870609483j,0.6080562337256923+1.2763178518059108j
4.75,0.6711083127190787+1.3405253879875378j,3.853217874521477-0.4965746188381224j,-3.336017099047839+0.28893790348557424j,0.667821636415282+1.3361122050450431j
5.0,0.7336838925809176+1.3975248178117237j,3.8826041060895093-0.5582702360352538j,-3.366205527734931+0.332241386626525j,0.7308311079112308+1.3930141829691327j
5.25,0.8017739420611937+1.4512298712781204j,3.9098527821897977-0.6240987310800312j,-3.396272160751948+0.383611707338771j,0.7978254461647971+1.4472249201460412j
5.5,0.8710442956219899+1.502631125056362j,3.9347125892020385-0.6932672249040577j,-3.4249906351831156+0.4337783391863002j,0.867286410759097+1.4982258592236348j
5.75,0.944527555636885+1.550266187245996j,3.956686034037431-0.7660279200614788j,-3.452266677264581+0.4897611566051999j,0.9400971051253073+1.5458529462556763j
6.0,1.0206266634212469+1.593508513526447j,3.975381892820774-0.8419133689187648j,-3.4761644942985708+0.5490592397753172j,1.015668439872328+1.5895709499813497j
6.25,1.099323493529478+1.633295115608428j,3.990740232165079-0.9206950304885892j,-3.4983498862342697+0.6108834326642116j,1.0938050930240348+1.6295992837143145j
6.5,1.1795914389330182+1.6698974384239793j,4.00256264041764-1.0019355051147576j,-3.5189508053002565+0.673645849788588j,1.1738770038145796+1.6657571075200015j
6.75,1.262378376313448+1.7017528155740298j,4.010432995696049-1.0855068246288857j,-3.5361454339589353+0.7400605541339356j,1.2561831650950575+1.6976554832232675j
7.0,1.3476385331732683+1.7277331659012403j,4.013929074744981-1.1710561424204013j,-3.5486468831056284+0.8109491008153863j,1.3405031778197491+1.7247809001968075j
7.25,1.4324284731667063+1.7504102165361046j,4.013547841260719-1.2578820919687779j,-3.558266953744008+0.8801185009977576j,1.425637316719919+1.747797778282628j
7.5,1.5190059733178352+1.7691141596843172j,4.008988747405751-1.3460504221481697j,-3.5658098659377737+0.9517297104872013j,1.512035409595889+1.7666098149478786j
7.75,1.6065684030326306+1.7826071736209028j,3.9999521693243114-1.4351078328324958j,-3.569200765369058+1.0254361072094451j,1.599359938799293+1.7806765055851967j
8.25,1.7833885389805435+1.7978678781859057j,3.969174555335953-1.6147301075989282j,-3.5682646778008733+1.175463577861919j,1.775434702464894+1.7959862671138926j
8.5,1.872257962855796+1.7974622239989617j,3.947022624157033-1.704540801137934j,-3.5610189071598333+1.2529703720515355j,1.8637384301941324+1.7965653112159523j
8.75,1.9595211848067604+1.7937101938645013j,3.9209508415501513-1.7937966778593735j,-3.5506939763719307+1.3285209340584296j,1.9513486875715929+1.7931244951611576j
9.25,2.1340623372955125+1.77310565377908j,3.8561081435617033-1.9704747270065086j,-3.5205111358044343+1.4822665072791399j,2.1255279246468315+1.773242864655424j
9.5,2.21953638558991+1.7565931257397884j,3.817719329409721-2.0570946791596496j,-3.5000016729586028+1.5583998781667991j,2.211130994655089+1.7571100575759862j
10.0,2.3884755845813115+1.7116629109653427j,3.7292239398155296-2.2262652277848205j,-3.450142591743341+1.7110861317683224j,2.379188000813816+1.7127620949247704j
10.25,2.469065456422877+1.6818800536191068j,3.679450104694486-2.307737553122524j,-3.417316082648795+1.7853907619210339j,2.4605033349110887+1.6844974702084912j
10.75,2.6262284697232423+1.6152908499364633j,3.570135000437364-2.465227037610454j,-3.347679390064207+1.9300290644829619j,2.6183037162003022+1.6180597673923849j
11.0,2.7025024131483177+1.5761488199241334j,3.5104567390382075-2.5405912475720758j,-3.3078789056468003+2.0016648667929657j,2.6944285150274485+1.57948259698211j
11.5,2.847982786268381+1.489105512557135j,3.382490413120689-2.6837929597325716j,-3.2201883165153617+2.139464377172116j,2.839987719943055+1.4930086367947544j
12.0,2.9831619029030727+1.389045031772839j,3.243682019087151-2.8157075655788386j,-3.120065719801349+2.2703653849717824j,2.9755785133489647+1.3943106749189096j
