f,dd,dq,qd,qq
1.0,0.16449580489120696+0.43467344891730736j,3.831840081819227-0.03647362422948319j,-3.8318400818192733+0.036473624229652585j,0.1644958048911972+0.43467344891738635j
1.25,0.1869541337735357+0.5417869301016107j,3.857567582791226-0.0509205361233902j,-3.8575675827913405+0.0509205361235747j,0.18695413377353176+0.5417869301015696j
1.5,0.21403176547325659+0.6492282223609205j,3.8883570181905367-0.0688812546459805j,-3.8883570181905944+0.06888125464599158j,0.21403176547333658+0.6492282223608854j
1.75,0.24639805084974406+0.756866136057189j,3.924116862610118-0.09103917318569943j,-3.9241168626089387+0.09103917318571632j,0.24639805084945576+0.7568661360562123j
2.0,0.2844274876407771+0.8649474454853905j,3.9644046280019882-0.11810993651412982j,-3.9644046280020673+0.11810993651430472j,0.2844274876406996+0.8649474454852591j
2.25,0.32862677914907135+0.9731025835417559j,4.008601709111226-0.15066717192324752j,-4.008601709109849+0.1506671719240079j,0.32862677914834004+0.973102583543191j
2.5,0.37958416724510025+1.080933498581653j,4.056409396411989-0.18948449594054795j,-4.056409396411708+0.1894844959407311j,0.379584167245117+1.0809334985816672j
2.75,0.43780012533782064+1.1881625175361386j,4.106871912902722-0.2352267613456771j,-4.1068719129028+0.23522676134567821j,0.4378001253378143+1.1881625175362043j
3.0,0.5035415518501496+1.2941386083702067j,4.159413442025994-0.288417581754115j,-4.159413442026187+0.2884175817538245j,0.5035415518502782+1.2941386083701811j
3.25,0.5774733832327406+1.3982904695236569j,4.213275459381612-0.3496963534642097j,-4.213275459381667+0.3496963534646068j,0.5774733832323674+1.3982904695235605j
3.5,0.6599952971463724+1.499827435163975j,4.267222077699779-0.4195918466353694j,-4.267222077699922+0.41959184663530147j,0.6599952971461166+1.499827435164015j
3.75,0.7509731233845786+1.5978186630291353j,4.320226578086276-0.49808555122036635j,-4.320226578086502+0.4980855512205579j,0.7509731233843651+1.5978186630288633j
4.0,0.8508692316190899+1.6910943164343255j,4.371151425442228-0.5856273306292055j,-4.3711514254423784+0.5856273306294589j,0.8508692316190531+1.6910943164344314j
4.25,0.9593942142286325+1.7785374084440364j,4.418463492064818-0.6820971463277172j,-4.418463492064362+0.682097146327798j,0.9593942142286241+1.7785374084444248j
4.5,1.0764259772527398+1.8593229302760919j,4.4612393739878735-0.7875101344985707j,-4.461239373987551+0.7875101344987229j,1.0764259772527285+1.8593229302761183j
4.75,1.2012439488780238+1.9320653719984624j,4.498020683471903-0.9009858548587975j,-4.4980206834721+0.9009858548588147j,1.2012439488781632+1.9320653719983947j
5.0,1.3336245193831997+1.9957856187652314j,4.527584580505242-1.0223315702036588j,-4.527584580505139+1.0223315702033977j,1.3336245193833203+1.9957856187650806j
5.25,1.472477848261832+2.0490641582816886j,4.548431607985993-1.1506179844811668j,-4.548431607986477+1.1506179844812732j,1.4724778482615577+2.049064158281289j
5.5,1.616483805668994+2.091345396551173j,4.559897077705974-1.2845815143746124j,-4.559897077706941+1.2845815143736914j,1.6164838056679132+2.0913453965523225j
5.75,1.7647295977931179+2.122067992532017j,4.5612885466524915-1.4230205037791843j,-4.5612885466536115+1.4230205037820625j,1.7647295977900683+2.122067992531261j
6.0,1.9160174269335017+2.1399612003711725j,4.551411154018364-1.565225591357053j,-4.551411154018317+1.565225591357357j,1.9160174269332768+2.139961200371345j
6.25,2.068278268166711+2.1452836075168955j,4.530028358431695-1.7087024442878014j,-4.530028358431605+1.7087024442877137j,2.0682782681666496+2.145283607516978j
6.5,2.220460807186494+2.1376356224297144j,4.49707327293852-1.8526147968700206j,-4.497073272938345+1.8526147968701112j,2.2204608071866354+2.1376356224302184j
6.75,2.3707484235211047+2.1176224300620152j,4.452704814245779-1.9950079760676784j,-4.452704814245752+1.995007976067574j,2.3707484235214586+2.1176224300624042j
7.0,2.517889947810843+2.0853378349421012j,4.397271516185252-2.1346728046524417j,-4.397271516185065+2.1346728046528116j,2.5178899478108248+2.0853378349420773j
7.25,2.660630881714548+2.0411647523594807j,4.330865427134734-2.270415445758071j,-4.330865427134506+2.270415445758461j,2.6606308817143964+2.041164752360011j
7.5,2.7975263409628286+1.9863529172216219j,4.254622575187004-2.4008271116354427j,-4.254622575187236+2.400827111635873j,2.797526340962264+1.9863529172216272j
7.75,2.927968582018363+1.9219075921609168j,4.169726143128655-2.5250287211791442j,-4.169726143128882+2.5250287211791784j,2.9279685820183+1.9219075921614888j
8.25,3.1654708073235684+1.7676358450079679j,3.9767391854402745-2.751450626301653j,-3.9767391854399334+2.751450626301611j,3.1654708073236204+1.7676358450083551j
8.5,3.27148582746286+1.6804210950418594j,3.8712145690020807-2.8525094139394467j,-3.871214569002438+2.85250941393932j,3.271485827462606+1.6804210950417757j
8.75,3.368810534104748+1.5875157733470069j,3.7606198031891234-2.9453350061669537j,-3.7606198031894102+2.945335006167408j,3.368810534104515+1.587515773346594j
9.25,3.536790617999129+1.390036050336129j,3.5295436194142416-3.1050351030776944j,-3.5295436194125736+3.1050351030822316j,3.5367906179946136+1.3900360503373892j
9.5,3.6075070037242774+1.2872429073990717j,3.410743922064253-3.1722631107186965j,-3.410743922064623+3.1722631107182835j,3.607507003724428+1.287242907398987j
10.0,3.7245793432644554+1.0786210086550938j,3.1716519114939756-3.28302204968935j,-3.171651911493885+3.2830220496894835j,3.7245793432642893+1.0786210086551136j
10.25,3.7710886814849136+0.9736886256229039j,3.0519690792986105-3.3268712636151903j,-3.0519690792991643+3.326871263615371j,3.771088681484648+0.9736886256229753j
10.75,3.8430470146729063+0.7660274026899381j,2.8163561541689175-3.394249724220922j,-2.816356154169073+3.3942497242205585j,3.8430470146732874+0.7660274026898057j
11.0,3.869513515433615+0.6642655593069703j,2.7010952993490838-3.41875922185325j,-2.7010952993493635+3.418759221852967j,3.869513515433919+0.6642655593068478j
11.5,3.9042997740955903+0.4656391458076627j,2.4763122576645924-3.450503196497618j,-2.4763122576638135+3.4505031964972788j,3.9042997740962795+0.46563914580780263j
12.0,3.919175486052954+0.2763567814599409j,2.2621452306224588-3.463034637525963j,-2.2621452306220426+3.463034637526436j,3.9191754860522128+0.2763567814602097j
12.5,3.9171650127175277+0.0965903916707054j,2.058588294869258-3.459589073907758j,-2.0585882948693275+3.45958907390788j,3.9171650127173763+0.09659039167029038j
13.0,3.9014037492125007-0.07229815434509589j,1.8670280493364768-3.442939975460173j,-1.8670280493366112+3.4429399754593977j,3.9014037492128595-0.07229815434540754j
13.5,3.873057245949289-0.230937294713585j,1.686308432680968-3.4144757621968793j,-1.6863084326810336+3.414475762196654j,3.8730572459496484-0.23093729471379287j
14.0,3.8347322880267303-0.37793889384894963j,1.5178645849781356-3.376178859970164j,-1.51786458497896+3.376178859969727j,3.8347322880261245-0.3779388938476784j
14.5,3.7892554785670978-0.5155435890528506j,1.3598899599330274-3.33150206815508j,-1.3598899599332528+3.3315020681552125j,3.7892554785668917-0.5155435890530851j
15.0,3.736426885897629-0.6428097231209767j,1.2125414255045226-3.2797658480098093j,-1.212541425504682+3.2797658480106224j,3.73642688589679-0.6428097231210863j
15.75,3.6478898979385486-0.8170151467934889j,1.0095695900414845-3.193901193626018j,-1.0095695900412074+3.1939011936259933j,3.6478898979388106-0.8170151467932176j
16.25,3.584538299898761-0.9217614787198862j,0.8865203361755554-3.132552652346403j,-0.8865203361759566+3.1325526523461495j,3.5845382998991298-0.921761478720243j
17.0,3.483507820292314-1.0608774460072974j,0.7200989956795794-3.0338294997265898j,-0.7200989956792573+3.0338294997260373j,3.4835078202929948-1.0608774460073045j
17.5,3.4125327589741765-1.1474072379000622j,0.6159526683265528-2.966464100837322j,-0.6159526683271703+2.96646410083747j,3.412532758973798-1.1474072379007203j
18.25,3.303479439913973-1.2615059675194882j,0.47574880264182307-2.8622220481455196j,-0.4757488026418816+2.862222048145552j,3.3034794399139136-1.2615059675197084j
19.0,3.194493169892401-1.3603951197851358j,0.3522817759404222-2.7577603716052215j,-0.3522817759400343+2.75776037160555j,3.19449316989217-1.36039511978472j
19.75,3.0840832593692356-1.4460456109997573j,0.24234031922829402-2.652590286038164j,-0.24234031922779978+2.652590286038188j,3.0840832593693115-1.4460456109995135j
20.5,2.9754628869855293-1.519143904528127j,0.14599730141565637-2.54905149035634j,-0.14599730141533512+2.5490514903561743j,2.9754628869857274-1.51914390452787j
21.25,2.867825262724664-1.5808918102670195j,0.06133613709490238-2.446583496663672j,-0.06133613709457283+2.4465834966640516j,2.867825262724171-1.5808918102667469j
22.0,2.76264468509963-1.6323035032615727j,-0.01247722858303657-2.3465316815968986j,0.012477228583202292+2.3465316815972677j,2.7626446850992954-1.6323035032612818j
23.0,2.6270278553698603-1.687808146953101j,-0.09653020274032542-2.2181012563688336j,0.09653020273943097+2.218101256368391j,2.627027855369587-1.6878081469527637j
23.75,2.528914475934747-1.719365468207934j,-0.1492973984627448-2.1249912804899984j,0.14929739846238535+2.124991280489976j,2.528914475934656-1.7193654682081547j
24.75,2.4032827289334016-1.7527057076270436j,-0.2095563538502745-2.0069435312174826j,0.20955635385025984+2.0069435312176673j,2.403282728933169-1.7527057076269505j
25.75,2.288075754441601-1.7778528705450112j,-0.25776928158781454-1.8987875814925257j,0.2577692815877254+1.898787581492238j,2.2880757544417496-1.7778528705450198j
26.75,2.172976472351635-1.7872825516199076j,-0.29607391355132284-1.7899851690088855j,0.2960739135514574+1.789985169009118j,2.1729764723514426-1.7872825516199193j
27.75,2.0681202464131356-1.7928387804882382j,-0.3262710786697496-1.6914611961620731j,0.3262710786703543+1.6914611961620767j,2.0681202464138497-1.792838780488573j
28.75,1.9699028470935378-1.7923594361293678j,-0.3495733110514694-1.5994233640328543j,0.34957331105151807+1.599423364032789j,1.969902847093666-1.7923594361293174j
30.0,1.8556759204907851-1.7846042051736752j,-0.37089256937232284-1.492672818305112j,0.37089256937225185+1.4926728183050892j,1.8556759204907822-1.7846042051738915j
31.0,1.7710903163172815-1.7739277613360114j,-0.38270544908026727-1.4138884401050398j,0.38270544908014803+1.41388844010498j,1.7710903163174223-1.7739277613360867j
32.25,1.6733327298093885-1.7563617135709677j,-0.39222318188221506-1.3232013842484212j,0.3922231818822455+1.3232013842482764j,1.6733327298094394-1.7563617135709602j
33.5,1.5838706754610965-1.7348944301850715j,-0.3968890821345219-1.2402721230194536j,0.39688908213457613+1.2402721230194949j,1.583870675460895-1.7348944301851472j
35.0,1.4864109480929624-1.7055346423837843j,-0.3977358524141771-1.1502518786870222j,0.3977358524144938+1.1502518786867821j,1.4864109480932493-1.70553464238351j
36.25,1.412708230448069-1.6790492492125495j,-0.3953718990777709-1.0824226912404042j,0.3953718990776794+1.082422691240243j,1.412708230448225-1.6790492492124491j
37.75,1.3323127458614892-1.6456814583774895j,-0.38996243182391677-1.00865157136866j,0.389962431823854+1.008651571368551j,1.3323127458615776-1.645681458377612j
39.25,1.2599404286237832-1.6113765652599439j,-0.38232325686996393-0.9425068065205954j,0.3823232568700296+0.9425068065206373j,1.2599404286237283-1.6113765652599799j
