Domain, Ia, Ea
0,0,0
5.00E-05,8.33E-12,-4.44E-08
0.0001,6.11E-11,-1.78E-07
0.00015,2.03E-10,-4.00E-07
0.0002,4.77E-10,-7.11E-07
0.00025,9.30E-10,-1.11E-06
0.0003,1.60E-09,-1.60E-06
0.00035,2.54E-09,-2.18E-06
0.0004,3.79E-09,-2.84E-06
0.00045,5.40E-09,-3.60E-06
0.0005,7.40E-09,-4.44E-06
0.00055,9.85E-09,-5.37E-06
0.0006,1.28E-08,-6.40E-06
0.00065,1.63E-08,-7.51E-06
0.0007,2.03E-08,-8.71E-06
0.00075,2.50E-08,-9.99E-06
0.0008,3.03E-08,-1.14E-05
0.00085,3.63E-08,-1.28E-05
0.0009,4.31E-08,-1.44E-05
0.00095,5.07E-08,-1.60E-05
0.001,5.91E-08,-1.78E-05
0.00105,6.84E-08,-1.96E-05
0.0011,7.86E-08,-2.15E-05
0.00115,8.98E-08,-2.35E-05
0.0012,1.02E-07,-2.56E-05
0.00125,1.15E-07,-2.77E-05
0.0013,1.30E-07,-3.00E-05
0.00135,1.45E-07,-3.23E-05
0.0014,1.62E-07,-3.48E-05
0.00145,1.80E-07,-3.73E-05
0.0015,1.99E-07,-3.99E-05
0.00155,2.20E-07,-4.26E-05
0.0016,2.41E-07,-4.54E-05
0.00165,2.65E-07,-4.83E-05
0.0017,2.90E-07,-5.13E-05
0.00175,3.16E-07,-5.43E-05
0.0018,3.44E-07,-5.75E-05
0.00185,3.73E-07,-6.07E-05
0.0019,4.04E-07,-6.40E-05
0.00195,4.36E-07,-6.74E-05
0.002,4.71E-07,-7.09E-05
0.00205,5.07E-07,-7.45E-05
0.0021,5.45E-07,-7.81E-05
0.00215,5.85E-07,-8.19E-05
0.0022,6.26E-07,-8.57E-05
0.00225,6.70E-07,-8.97E-05
0.0023,7.15E-07,-9.37E-05
0.00235,7.63E-07,-9.78E-05
0.0024,8.12E-07,-0.000101977
0.00245,8.64E-07,-0.000106253
0.0025,9.18E-07,-0.000110616
0.00255,9.74E-07,-0.000115066
0.0026,1.03E-06,-0.000119602
0.00265,1.09E-06,-0.000124225
0.0027,1.15E-06,-0.000128934
0.00275,1.22E-06,-0.000133729
0.0028,1.29E-06,-0.000138611
0.00285,1.36E-06,-0.000143579
0.0029,1.43E-06,-0.000148633
0.00295,1.50E-06,-0.000153773
0.003,1.58E-06,-0.000158998
