Domain, Ia, Ea
0,0,0
5.00E-05,1.53E-11,-8.89E-08
0.0001,1.19E-10,-3.55E-07
0.00015,4.01E-10,-8.00E-07
0.0002,9.49E-10,-1.42E-06
0.00025,1.85E-09,-2.22E-06
0.0003,3.20E-09,-3.20E-06
0.00035,5.08E-09,-4.35E-06
0.0004,7.58E-09,-5.68E-06
0.00045,1.08E-08,-7.19E-06
0.0005,1.48E-08,-8.88E-06
0.00055,1.97E-08,-1.07E-05
0.0006,2.55E-08,-1.28E-05
0.00065,3.25E-08,-1.50E-05
0.0007,4.05E-08,-1.74E-05
0.00075,4.99E-08,-2.00E-05
0.0008,6.05E-08,-2.27E-05
0.00085,7.25E-08,-2.56E-05
0.0009,8.61E-08,-2.87E-05
0.00095,1.01E-07,-3.20E-05
0.001,1.18E-07,-3.54E-05
0.00105,1.37E-07,-3.91E-05
0.0011,1.57E-07,-4.29E-05
0.00115,1.79E-07,-4.68E-05
0.0012,2.04E-07,-5.10E-05
0.00125,2.30E-07,-5.53E-05
0.0013,2.59E-07,-5.98E-05
0.00135,2.90E-07,-6.45E-05
0.0014,3.23E-07,-6.93E-05
0.00145,3.59E-07,-7.43E-05
0.0015,3.97E-07,-7.95E-05
0.00155,4.38E-07,-8.49E-05
0.0016,4.81E-07,-9.04E-05
0.00165,5.28E-07,-9.61E-05
0.0017,5.77E-07,-0.00010194
0.00175,6.29E-07,-0.000107975
0.0018,6.84E-07,-0.00011418
0.00185,7.43E-07,-0.000120553
0.0019,8.04E-07,-0.000127095
0.00195,8.69E-07,-0.000133804
0.002,9.37E-07,-0.00014068
0.00205,1.01E-06,-0.000147723
0.0021,1.08E-06,-0.000154932
0.00215,1.16E-06,-0.000162306
0.0022,1.25E-06,-0.000169845
0.00225,1.33E-06,-0.000177549
0.0023,1.42E-06,-0.000185416
0.00235,1.52E-06,-0.000193446
0.0024,1.61E-06,-0.000201639
0.00245,1.72E-06,-0.000209993
0.0025,1.82E-06,-0.000218508
0.00255,1.93E-06,-0.000227184
0.0026,2.05E-06,-0.000236019
0.00265,2.17E-06,-0.000245013
0.0027,2.29E-06,-0.000254166
0.00275,2.42E-06,-0.000263476
0.0028,2.55E-06,-0.000272943
0.00285,2.69E-06,-0.000282566
0.0029,2.83E-06,-0.000292345
0.00295,2.98E-06,-0.000302277
0.003,3.13E-06,-0.000312364
0.00305,3.29E-06,-0.000322603
0.0031,3.45E-06,-0.000332995
0.00315,3.62E-06,-0.000343538
0.0032,3.79E-06,-0.000354231
0.00325,3.97E-06,-0.000365074
0.0033,4.15E-06,-0.000376065
0.00335,4.34E-06,-0.000387204
0.0034,4.53E-06,-0.000398491
0.00345,4.73E-06,-0.000409923
0.0035,4.94E-06,-0.0004215
0.00355,5.15E-06,-0.000433221
0.0036,5.37E-06,-0.000445086
0.00365,5.59E-06,-0.000457093
0.0037,5.82E-06,-0.000469241
0.00375,6.05E-06,-0.00048153
0.0038,6.29E-06,-0.000493957
0.00385,6.54E-06,-0.000506524
0.0039,6.79E-06,-0.000519227
0.00395,7.05E-06,-0.000532067
0.004,7.32E-06,-0.000545042
0.00405,7.59E-06,-0.000558151
0.0041,7.87E-06,-0.000571394
0.00415,8.15E-06,-0.000584768
0.0042,8.45E-06,-0.000598274
0.00425,8.74E-06,-0.000611909
0.0043,9.05E-06,-0.000625674
0.00435,9.36E-06,-0.000639565
0.0044,9.68E-06,-0.000653584
0.00445,1.00E-05,-0.000667728
0.0045,1.03E-05,-0.000681996
0.00455,1.07E-05,-0.000696388
0.0046,1.10E-05,-0.000710901
0.00465,1.14E-05,-0.000725535
0.0047,1.17E-05,-0.000740289
0.00475,1.21E-05,-0.000755161
0.0048,1.25E-05,-0.00077015
0.00485,1.29E-05,-0.000785255
0.0049,1.33E-05,-0.000800475
0.00495,1.36E-05,-0.000815808
0.005,1.41E-05,-0.000831254
0.00505,1.45E-05,-0.00084681
0.0051,1.49E-05,-0.000862477
0.00515,1.53E-05,-0.000878251
0.0052,1.57E-05,-0.000894133
0.00525,1.62E-05,-0.000910121
0.0053,1.66E-05,-0.000926213
0.00535,1.71E-05,-0.000942408
0.0054,1.76E-05,-0.000958705
0.00545,1.80E-05,-0.000975102
0.0055,1.85E-05,-0.000991599
0.00555,1.90E-05,-0.001008193
0.0056,1.95E-05,-0.001024884
0.00565,2.00E-05,-0.00104167
0.0057,2.05E-05,-0.00105855
0.00575,2.11E-05,-0.001075522
0.0058,2.16E-05,-0.001092584
0.00585,2.21E-05,-0.001109736
0.0059,2.27E-05,-0.001126976
0.00595,2.32E-05,-0.001144303
0.006,2.38E-05,-0.001161715
0.00605,2.44E-05,-0.00117921
0.0061,2.50E-05,-0.001196788
0.00615,2.55E-05,-0.001214447
0.0062,2.61E-05,-0.001232184
0.00625,2.68E-05,-0.00125
0.0063,2.74E-05,-0.001267892
0.00635,2.80E-05,-0.001285859
0.0064,2.86E-05,-0.001303899
0.00645,2.93E-05,-0.00132201
0.0065,2.99E-05,-0.001340193
0.00655,3.06E-05,-0.001358443
0.0066,3.12E-05,-0.001376761
0.00665,3.19E-05,-0.001395145
0.0067,3.26E-05,-0.001413593
0.00675,3.33E-05,-0.001432103
0.0068,3.40E-05,-0.001450675
0.00685,3.47E-05,-0.001469305
0.0069,3.54E-05,-0.001487994
0.00695,3.62E-05,-0.001506739
0.007,3.69E-05,-0.001525538
0.00705,3.77E-05,-0.001544391
0.0071,3.84E-05,-0.001563295
0.00715,3.92E-05,-0.001582249
0.0072,4.00E-05,-0.001601251
0.00725,4.07E-05,-0.0016203
0.0073,4.15E-05,-0.001639393
0.00735,4.23E-05,-0.00165853
0.0074,4.32E-05,-0.001677709
0.00745,4.40E-05,-0.001696927
0.0075,4.48E-05,-0.001716184
0.00755,4.57E-05,-0.001735478
0.0076,4.65E-05,-0.001754807
0.00765,4.74E-05,-0.001774169
0.0077,4.82E-05,-0.001793562
0.00775,4.91E-05,-0.001812986
0.0078,5.00E-05,-0.001832438
0.00785,5.09E-05,-0.001851917
0.0079,5.18E-05,-0.001871421
0.00795,5.27E-05,-0.001890948
0.008,5.36E-05,-0.001910496
0.00805,5.46E-05,-0.001930064
0.0081,5.55E-05,-0.00194965
0.00815,5.65E-05,-0.001969253
0.0082,5.74E-05,-0.00198887
0.00825,5.84E-05,-0.002008501
0.0083,5.94E-05,-0.002028142
0.00835,6.04E-05,-0.002047793
0.0084,6.14E-05,-0.002067451
0.00845,6.24E-05,-0.002087116
0.0085,6.34E-05,-0.002106784
0.00855,6.44E-05,-0.002126455
0.0086,6.54E-05,-0.002146127
0.00865,6.65E-05,-0.002165798
0.0087,6.75E-05,-0.002185465
0.00875,6.86E-05,-0.002205129
0.0088,6.97E-05,-0.002224785
0.00885,7.08E-05,-0.002244434
0.0089,7.19E-05,-0.002264073
0.00895,7.30E-05,-0.0022837
0.009,7.41E-05,-0.002303314
0.00905,7.52E-05,-0.002322912
0.0091,7.63E-05,-0.002342493
0.00915,7.74E-05,-0.002362056
0.0092,7.86E-05,-0.002381598
0.00925,7.98E-05,-0.002401117
0.0093,8.09E-05,-0.002420612
0.00935,8.21E-05,-0.002440081
0.0094,8.33E-05,-0.002459523
0.00945,8.45E-05,-0.002478934
0.0095,8.57E-05,-0.002498315
0.00955,8.69E-05,-0.002517662
0.0096,8.81E-05,-0.002536974
0.00965,8.93E-05,-0.002556249
0.0097,9.06E-05,-0.002575486
0.00975,9.18E-05,-0.002594682
0.0098,9.31E-05,-0.002613836
0.00985,9.43E-05,-0.002632946
0.0099,9.56E-05,-0.002652011
0.00995,9.69E-05,-0.002671027
0.01,9.82E-05,-0.002689994
0.01005,9.95E-05,-0.00270891
0.0101,0.000100793,-0.002727772
0.01015,0.000102111,-0.00274658
0.0102,0.000103438,-0.002765331
0.01025,0.000104773,-0.002784024
0.0103,0.000106117,-0.002802656
0.01035,0.000107469,-0.002821226
0.0104,0.000108831,-0.002839732
0.01045,0.0001102,-0.002858172
0.0105,0.000111578,-0.002876545
0.01055,0.000112965,-0.002894849
0.0106,0.00011436,-0.002913081
0.01065,0.000115764,-0.00293124
0.0107,0.000117176,-0.002949325
0.01075,0.000118596,-0.002967333
0.0108,0.000120025,-0.002985262
0.01085,0.000121461,-0.003003112
0.0109,0.000122906,-0.003020879
0.01095,0.000124359,-0.003038563
0.011,0.00012582,-0.003056161
0.01105,0.00012729,-0.003073671
0.0111,0.000128767,-0.003091093
0.01115,0.000130252,-0.003108424
0.0112,0.000131745,-0.003125662
0.01125,0.000133246,-0.003142805
0.0113,0.000134754,-0.003159852
0.01135,0.000136271,-0.003176801
0.0114,0.000137795,-0.003193651
0.01145,0.000139327,-0.003210398
0.0115,0.000140866,-0.003227043
0.01155,0.000142413,-0.003243582
0.0116,0.000143967,-0.003260014
0.01165,0.000145529,-0.003276338
