f,dd,dq,qd,qq
1.0,0.8731627725396681+0.24208516940335864j,0.753262979576787+1.3622514079121077j,-2.606033272656973+0.22302551045690328j,-0.8862116598485543+1.6231952055199033j
2.0,1.0720332279679463+0.44623129545595347j,2.0276839286983104+1.5105516065344489j,-2.3914203221302057+0.4076516146961103j,0.7257594731217367+2.1908749984199396j
3.0,1.231961685009499+0.5052191947828694j,2.6564166851796385+1.0155352292287985j,-2.224670812190964+0.40766471064305554j,1.6297866751698113+1.737387128196322j
4.0,1.3308403839125584+0.5337919822848447j,2.849396989711293+0.5818146069376977j,-2.151734471232746+0.3680904333782682j,1.937511974488826+1.2819473859433173j
5.0,1.3975504518630122+0.5660820736665109j,2.898577649468377+0.29255336168498625j,-2.1378472823476358+0.33160115762782466j,2.0181474646447084+0.9943696871829206j
6.0,1.4568770605349943+0.6059204917646475j,2.920253280515334+0.09382997596756937j,-2.156666160859603+0.3115442255668737j,2.0329227996223755+0.8289012505724174j
7.0,1.5148421624988624+0.6505034414791584j,2.94717089803627-0.05999044292182987j,-2.195650323645061+0.3073843551119055j,2.032409977700585+0.7374933157618784j
8.0,1.5715572452404099+0.7004651856786444j,2.9850932137938777-0.19511060286380255j,-2.2516511169977824+0.31843730340319937j,2.031176279567162+0.692981940913586j
9.0,1.6314112521903925+0.7541126519625493j,3.0346231986293546-0.3290095051072237j,-2.3218312500033838+0.3481201559682138j,2.0361355495076694+0.6776770301302542j
10.0,1.6979909184653719+0.8140261456681108j,3.092357288117215-0.4683911757518633j,-2.402480275090269+0.39455264931292156j,2.0499894096871945+0.6869351041098728j
