Freq_Hz,Cycles_in_Window,Re_Ydd,Im_Ydd,Mag_Ydd,Phase_Ydd_deg,Re_Yqd,Im_Yqd,Mag_Yqd,Phase_Yqd_deg,Re_Ydq,Im_Ydq,Mag_Ydq,Phase_Ydq_deg,Re_Yqq,Im_Yqq,Mag_Yqq,Phase_Yqq_deg,CondNum
0.25,5,-4.04708344153049,-0.125892376682915,4.04904103130817,-178.218278237917,10.9907339456377,0.0418809438065429,10.9908137404492,0.218328431903979,-0.59131418651921,-1.57719668635225,1.68439955314034,-110.551759170805,4.84593632429847,-0.656376353883546,4.89018698794768,-7.7137014457039,2.63331428917014
0.3,6,-3.86249437130132,-0.156932386897014,3.86568112269902,-177.673363436025,10.9840637953608,0.0235020213774301,10.9840889383492,0.122592567299746,-0.593782639914779,-1.87930822689933,1.97088234939472,-107.534352946883,4.97172569740192,-0.9018339899757,5.05285671236402,-10.2812380399295,2.63269685085907
0.35,7,-3.7029878929731,-0.178018354803146,3.70726447264721,-177.247667571019,10.9833035029685,-0.00989976416823879,10.9833079645274,-0.0516433467631179,-0.61203631224685,-2.17873013620187,2.26306284797903,-105.690808619572,5.08973913050878,-1.18977203753164,5.2269495805799,-13.1571466351753,2.63059283112809
0.4,8,-3.57710566620397,-0.189734813772866,3.58213403528483,-176.963794911519,10.9885052272129,-0.0581960378136011,10.9886593316611,-0.303440377724792,-0.651405437009523,-2.4763295200685,2.56057355593005,-104.737931696928,5.19204554527678,-1.51612884783785,5.40888007146346,-16.2783285551671,2.62635009126768
0.45,9,-3.48950827583388,-0.195995956570525,3.49500821488379,-176.785233477529,10.9994141936948,-0.11979350440661,11.0000665038059,-0.623977854082058,-0.715941313261635,-2.77286756425395,2.86380280273039,-104.477318213508,5.27250168692834,-1.87517536311753,5.59603043961567,-19.5780274406087,2.61950370186229
0.5,10,-3.44135662982718,-0.203024575094302,3.4473401966948,-176.623719890779,11.0156099198218,-0.192136277940721,11.0172854304033,-0.999262112611511,-0.808153378514371,-3.06904412909694,3.1736640889591,-104.752470231491,5.32672759245499,-2.26028284132062,5.78644151158462,-22.9929008782267,2.60982558950912
0.55,11,-3.43063043393172,-0.217939740740818,3.43754605857329,-176.365020969143,11.0364225442216,-0.272086011233763,11.0397759656667,-1.41225318479348,-0.928923126055758,-3.36543106432528,3.49127833649034,-105.430519914564,5.35191011305654,-2.66450775119229,5.97850678801995,-26.4669264688229,2.59731803653158
0.6,12,-3.45238756387051,-0.247556748961532,3.46125183064223,-175.898571271354,11.0609298430248,-0.356251257916088,11.0666654395569,-1.84474905022493,-1.07758637264425,-3.66240435132949,3.8176429931498,-106.395423802525,5.34654010685636,-3.08105392461691,6.17076854213646,-29.9535833405418,2.58217832306853
0.65,13,-3.49932824854705,-0.297361758354494,3.51193994914649,-175.142856133652,11.0878979875626,-0.441335574203333,11.0966778303983,-2.27936120164895,-1.25216192746132,-3.95997864129676,4.15323251601812,-107.547173767454,5.31009192245994,-3.50357574658794,6.36177013393706,-33.41665613414,2.56474121044838
0.7,14,-3.56251015057785,-0.370641414704166,3.58173891165508,-174.060350672565,11.1157407661424,-0.524382181312542,11.1281026887856,-2.70091110684423,-1.44960884372084,-4.25764582827565,4.49765647852598,-108.802266865381,5.24276737286895,-3.92635756407051,6.55003003404968,-36.8298837442122,2.54541729151307
