f,dd,dq,qd,qq
1,0.8777775662955304+0.2576897530683183j,0.6711658983459046+1.4081234536578142j,-2.649625990937957+0.2148448382204637j,-1.0001708403451777+1.4766328239456172j
2,1.090128757678388+0.49687593633899424j,2.0355501659284734+1.7252280627129157j,-2.454533876218628+0.4143401467423714j,0.48549808075305356+2.2142082563169483j
3,1.2852425577433353+0.5645107462860038j,2.8279350110401955+1.2016783723951772j,-2.2742610447142306+0.4264885565808797j,1.4802707081495976+1.8416732583457496j
4,1.4062018131073502+0.5822233589094706j,3.085923128565801+0.677486732730777j,-2.1899819150914785+0.38225903258079813j,1.846014112970481+1.3729261737745517j
5,1.4845973069014131+0.6005120207967936j,3.1419699646713517+0.31238974080128923j,-2.17271186501269+0.33841730471522674j,1.9430018697759892+1.0606693484446963j
6,1.5495707563151337+0.6290177794376827j,3.1473137749298217+0.06710371790837533j,-2.1943428766592223+0.3127515954287878j,1.9514921548277777+0.885429390831777j
7,1.6110994453635816+0.6653310942422418j,3.1617629218229233-0.11476027281093959j,-2.2383915713321114+0.305211528648847j,1.9461075628783662+0.7981980658740702j
8,1.670125752121902+0.707250542979113j,3.1794850587592856-0.2729589501007159j,-2.3008238271412425+0.3144695424997829j,1.9348689211435652+0.7604235396787835j
9,1.7307906854992208+0.7531163943185867j,3.214258084555795-0.42301823223870905j,-2.3776991323190386+0.3456449549889469j,1.9353577306435807+0.7590846659710295j
10,1.7979261156183386+0.807251508734734j,3.2616158835516327-0.5737830806429085j,-2.4655394412230107+0.3944811335279771j,1.9507134324589894+0.7875288462707415j
