Domain, Ia
0,0
5.00E-05,2.22E-08
0.0001,8.89E-08
0.00015,2.00E-07
0.0002,3.55E-07
0.00025,5.55E-07
0.0003,8.00E-07
0.00035,1.09E-06
0.0004,1.42E-06
0.00045,1.80E-06
0.0005,2.22E-06
0.00055,2.69E-06
0.0006,3.20E-06
0.00065,3.75E-06
0.0007,4.35E-06
0.00075,5.00E-06
0.0008,5.69E-06
0.00085,6.42E-06
0.0009,7.20E-06
0.00095,8.02E-06
0.001,8.89E-06
0.00105,9.80E-06
0.0011,1.08E-05
0.00115,1.18E-05
0.0012,1.28E-05
0.00125,1.39E-05
0.0013,1.50E-05
0.00135,1.62E-05
0.0014,1.74E-05
0.00145,1.87E-05
0.0015,2.00E-05
0.00155,2.13E-05
0.0016,2.27E-05
0.00165,2.42E-05
0.0017,2.57E-05
0.00175,2.72E-05
0.0018,2.88E-05
0.00185,3.04E-05
0.0019,3.21E-05
0.00195,3.38E-05
0.002,3.55E-05
0.00205,3.73E-05
0.0021,3.92E-05
0.00215,4.11E-05
0.0022,4.30E-05
0.00225,4.50E-05
0.0023,4.70E-05
0.00235,4.91E-05
0.0024,5.12E-05
0.00245,5.33E-05
0.0025,5.55E-05
0.00255,5.78E-05
0.0026,6.01E-05
0.00265,6.24E-05
0.0027,6.48E-05
0.00275,6.72E-05
0.0028,6.97E-05
0.00285,7.22E-05
0.0029,7.47E-05
0.00295,7.73E-05
0.003,8.00E-05
0.00305,8.27E-05
0.0031,8.54E-05
0.00315,8.82E-05
0.0032,9.10E-05
0.00325,9.38E-05
0.0033,9.68E-05
0.00335,9.97E-05
0.0034,0.000102712
0.00345,0.000105755
0.0035,0.000108842
0.00355,0.000111974
0.0036,0.00011515
0.00365,0.00011837
0.0037,0.000121635
0.00375,0.000124945
0.0038,0.000128298
0.00385,0.000131696
0.0039,0.000135139
0.00395,0.000138626
0.004,0.000142157
0.00405,0.000145733
0.0041,0.000149353
0.00415,0.000153018
0.0042,0.000156727
0.00425,0.00016048
0.0043,0.000164278
0.00435,0.00016812
0.0044,0.000172007
0.00445,0.000175937
0.0045,0.000179913
0.00455,0.000183933
0.0046,0.000187997
0.00465,0.000192105
0.0047,0.000196258
0.00475,0.000200455
0.0048,0.000204697
0.00485,0.000208983
0.0049,0.000213314
0.00495,0.000217688
0.005,0.000222108
0.00505,0.000226571
0.0051,0.000231079
0.00515,0.000235632
0.0052,0.000240228
0.00525,0.00024487
0.0053,0.000249555
0.00535,0.000254285
0.0054,0.000259059
0.00545,0.000263878
0.0055,0.000268741
0.00555,0.000273648
0.0056,0.0002786
0.00565,0.000283596
0.0057,0.000288637
0.00575,0.000293722
0.0058,0.000298851
0.00585,0.000304025
0.0059,0.000309243
0.00595,0.000314505
0.006,0.000319812
0.00605,0.000325163
0.0061,0.000330558
0.00615,0.000335998
0.0062,0.000341482
